original,translation
"D’iedolla kažvettih poijat šuwret, vägövät i provornoit.
","Дедовы сыновья выросли большими, сильными и проворными."
"Hyö stroittih pajan ed’izeh, pajašša ruvettih ruadamah, luajittih hyö iče pluwgan rawdazen i aštovan rawdazen, a to ših šuat kyn’n’et’t’ih hyö adralla puwhizella i puwhizella aštovalla i aštoidih.
","Они построили кузницу сначала, в кузнице стали работать, они сами сделали железный плуг и железную борону, иначе до тех пор они пахали деревянными плугами и боронили деревянными боронами."
"Šidä kaikin omin mužikoinke kylän srojittih tuwl’imel’l’ičän.
",А затем все вместе мужчины построили ветряную мельницу.
"D’iedolla kolme poigua naičči.
",Трое сыновей деда женились.
"Oi...
",Ой…
"Hyö yheššä el’ettih kakšikymmen’dä vuotta i heiläh pereh jo kažvo kakšikymmen’da viiz’i hengel’l’is’tä, a mužikat oldih ves’ma jo ruadajat i vägövät i sroittih ka šillä aigua n’ellät huonehet.
","Они прожили вместе двадцать лет и их семья выросла до двадцати пяти человек, а мужчины были уж очень работящими и сильными и построили за это время четыре дома."
"Šidä srojihuoh hyö otettih da arbah i luodih: kumbazet huonehet kumbazen kohtah langetah, šilloin hyö i erottih.
","После того как построили, они взяли и бросили жребий: какие дома в чью сторону упадут, тогда они и отделились."
"Šillä aigua i kylä kažvo, šeiččimešta taluo l’ien’i kakšikymmen’dä taluo.
","К тому времени и деревня разрослась, семь домов превратилось в двадцать."
"Tuldih hot’ spornoilla mestalla, a el’ettih kylä ves’ma druwžno naroda.
","Хоть и пришли на спорное место, а жил народ деревни очень дружно."
"Meilä ol’i rodu šuwr’i, d’iedo miän, pravod’iedo ol’i Leva-d’iedo, šidä ol’i Juakko-d’iedo žen jäl’geh, šidä ol’i Suava-d’iedo.
","У нас был большой род, деда нашего, прадеда звали Львом, затем был дед Яков после него, потом был дед Савелий."
"Suava-d’iedolla ol’i kolme poigua, vanhiin ol’i T’imo, toin’e ol’i Miikkula, kolmaš ol’i Puavila.
","У деда Савелия было три сына, старшего звали Тимофеем, второго Николаем, третьего Павлом."
"Kaikin oldih naiz’iin, kaikin el’et’t’ih sprawno posl’edn’eje vr’em’a.
","Все они были женаты, все жили богато в последнее время."
"A T’imo-d’iädöllä ol’i kakši poigua: Ondr’ei da Iivana, Miikkul-d’iädöllä ol’i n’ellä poigua: Mikolai, Suava, Iiva, Ol’eksandra.
","У дяди Тимофея было два сына: Андрей и Иван, у дяди Николая было четыре сына: Николай, Савелий, Иван, Александр."
"Vot.
",Вот.
"A d’iädöillä tože ka...
",А у дядей тоже вот…
"Ka näin rodu miän ka šuwr’i i viid’i.
",Вот так наш род и стал большим.
"Kir’il-d’iädö el’i kohašša da Paro-täd’i, akkan’e.
","Дядя Кирилл жил напротив и тетя Прасковья, жена его."
"T’iihan-d’iädö el’i rewnašša meilä.
",Дядя Тихон жил рядом с нами.
"Gruša-buabo el’i, toizella randua Ol’eksandra-d’iädö el’i.
","Баба Аграфена жила, а с другой стороны дядя Александр."
"El’et’t’ih T’eppo-d’iädön, tože ol’i Paro-täd’i akkan’e.
","Жил дядя Степан, у него тоже жену Прасковьей звали."
"-	A t’iän pereheššä kedä ol’i?
",-	А в вашей семье кто был?
"Miwn tuatolla Puavilalla ol’i poiga Iva, Ol’eksandra, Mikolai i Vas’a, šid’ tyttäret ka Natto da mie Paro.
","У моего отца Павла были сыновья Иван, Александр, Николай и Василий, затем дочери вот Наталья и я – Прасковья."
"-	Nu, a hiän mučot, neveskat, kuin?
","- Ну, а их жен, невесток как?"
"Min’n’at.
",Невестки.
"Ivalla-vel’l’ellä ol’i, Dun’akši kučuttih naista, Ol’eksandralla Dar’ukši kučuttih, a Vas’alla ol’i Mar’u, vot, a čikko ol’i tyttönä kuol’i, značit hänellä ewlun n’ikedä.
","У брата Ивана была, Евдокией жену звали, у Александра Дарьей звали, у Василия Мария была, вот, а сестра девушкой умерла, у нее никого не было."
"A T’imo-d’iädön vunukat oldih Pet’u da Miša.
",У дяди Тимофея внуки были: Петр и Михаил.
"Značit naizet hiän oldih: Pet’ulla Pašakši kučuttih, a (смеется) Mišalla Ol’akši.
","У них, значит, жены были: у Петра жену Прасковьей звали, а (смеется) у Михаила Ольгой."
"en muissa, kuin ol’i.
","не помню, как звали."
"Suava-v’el’l’elä ol’i On’is’s’a.
",У брата Савелия бала Анисья.
"Dvuirodnoilla vel’l’ellä: Ol’eksandra-vel’l’i, ol’i Marfa nain’e, poigua ol’i Jehimä da St’opa.
","У двоюродных братьев: у Александра была жена Марфа, сыновья были Ефим и Степан."
"-	A kedä šanottih tädiks’i?
",- А кого называли täd’i?
"Vel’l’ie miän kučuttih vel’l’i, a kumbaz’issa kyl’issä kučutah veikko.
","Братьев у нас называли vel’l’i, а в некоторых деревнях называют veikko."
"A t’otua täd’iks’i, pr’imerno ka Paro-täd’i, Ol’on-täd’i, ka näin kučuttih, ka iellä.
","А тетушек täd’i, например, Paro-täd’i, Ol’on-täd’i, так вот называли раньше."
"Miku-d’iädön brihat ruattih nagol’e vemmel’dä luajittih, näidä rengie, puizuz’ie puwhoz’ie...
","Сыновья дяди Михаила работали постоянно, дуги делали, ведра, бочки деревянные…"
"vot.
",вот.
"Miän vel’l’et tože ken midä: yks’i vel’l’i ol’i portnoikši opaštun, Mikolai, vopče po krest’janstvu, regie šivottih, luajittih, da ka ken midäigi, t’el’egöidä iče luajittih.
","Наши братья тоже, кто что: один брат выучился на портного, а Николай вообще крестьянством занимался, сани изготавливали, делали, да вот кто что, телеги сами делали."
"Iellä vet’t’en kyn’n’et’t’ih adroilla, adra da aštova, puwhizet nämä...
","Раньше ведь пахали сохами, сохой и бороной, деревянными..."
"vot.
",вот.
"Näidä nagol’e iče luajittih, nyt vet’ kyn’n’etäh pluwgilla da konešno mašinoilla.
","Их вот постоянно сами изготавливали, а теперь ведь плугами пашут и, конечно, машинами."
"Heinäaigua, keššä ol’i enämbi ruadajua n’in na s’eno, tädä n’iittämäh käwd’ih, najomno šin’n’e ka käwd’ih za d’engi.
","Во время сенокоса, у кого было больше работников, так на сено, косить ходили, нанимались работать за деньги."
"-	T’eilä ol’i kirpiččazavoda.
",- У вас был кирпичный завод.
"Kuin kirpiččazavodalla ruattih?
",Как на кирпичном заводе работали?
"Kirpiččazavodalla ruattih vručnuju, značit varuššetah šavie, da ka žen šaven tallаtah, tallаtah jalloilla, da konešno vettä kuatah, da razved’itah.
","На кирпичном заводе вручную работали, значит, готовят глину, эту глину трамбуют, трамбуют ногами, и, конечно, воду наливают, разводят."
"Šidä oldih muozet juašikkazet, ka ših vrode ka kun kriškaz’illa l’ičattih, šolahutettih – kirpiččan’e, tuašen n’iin ka i viid’i, ka n’iin luajittih.
","Затем были такие ящики, так в них, вроде как, крышками придавливали, отпускали – кирпич, и снова так и получался, вот так и делали."
"Šidä pandih ka, sarait oldih luajittu, što ol’iis’ vozduha, vain čiros’ta ei ois’, ka n’iissä i kuivettih.
","Затем складывали, сараи были сделаны такие, чтобы воздух попадал, только бы солнца не было, вот в них и сушили."
"A šidä konešno kal’ittih, kal’ittih n’e.
","А потом, конечно закаливали, закаливали их."
"Voizavodat oldih omat.
",Маслобойки были.
"I opaššettih pieneštä šuat kumardelomah, i kuin pidäw kumarrella, i kuin pidäw zavod’ie l’eibiä šywvä.
","И учили с детства молиться, и как нужно бить поклоны, и как нужно начинать хлеб есть."
"Bluasloven’n’atta da šil’min r’is’t’imättä ei n’ikonža annettu, kuin vai rubiew maltamah, jo šuamah šil’mie r’is’t’ie lapšella, jo pieneštä šuaten jo zavod’iw muamo omalla kiällä opaštua lašta šil’mie r’is’t’imäh.
","Без благословенья, не перекрестившись, никогда не давали, как только начинает понимать, уже может креститься ребенок, уж с детства и начинает мать своей рукой учить ребенка креститься."
"I nagol’e, štobi ennen šyön’d’iä pidäw kumarrella i pidäw Otče naš lugie.
","И постоянно, прежде чем приступить к трапезе, нужно помолиться и прочитать «Отче наш»."
"I näin pidäw nagol’e jogohizella ennen šyön’d’iä.
",И так нужно постоянно каждому перед едой.
"Rahvahalla n’iin ol’i moda, štobi kumarrella da šidä stolan taguah istuočie.
","У народа такая была мода, помолиться и затем за стол садиться."
"A bluasloven’n’atta šyön’dä ei ole v pol’zu, ei mäne pol’zuh, i šiwla i t’ervehyttä ei l’iene žemmuos’t’a.
","А без благословенья пища не пойдет в пользу, и у тебя и здоровья не будет такого."
"I kaikki nagol’e pidäw t’ietä, štobi i kumbazešta r’iähäštä kuin piäššä da izbuaviečie.
","И все всегда нужно знать, как от какого греха спастись и избавиться."
"I kuin häneštä, mityš pidäw otvietta andua, mittyz’inkena r’iähinkena pidäw...
","И как от него, какой ответ нужно дать, с какими грехами нужно…"
"rubiet tuoilmašša tulešša palamah.
",будешь на том свете в огне гореть.
"On žemmuozet šuwret r’iähät.
",Есть такие большие грехи.
"Valehuš on šuwr’i r’iähkä.
",Ложь большой грех.
"Da.
",Да.
"Ei n’i hos’ brihalapšie, što kur’imah ei pie opaštuo, šanow, a kuin kur’imah opaššut, n’in šiwla...
","Нет, так хоть мальчиков, что курить не нужно учиться, говорит, а если научишься курить, так тебя…"
"kegl’ehekši i mänet, mušta kegl’eh šie kuolduoh i l’ienet, l’ienet ka kuin paha čigana, ka rubiet kegl’ehena šavuomah nagol’e da muštenet.
","головешкой и станешь, черной головешкой ты после смерти и будешь, будешь как плохой цыган, вот будешь головешкой дымить постоянно и почернеешь."
"A šidä varattih vielä i juondua da i pahoin elän’d’iä.
",А затем боялись еще пьянства и плохой [неправильной] жизни.
"A ka yl’en pahan elännäštä...
",А вот от очень плохой жизни…
"pahoin ka ei pie el’iä, pidäy zakonua t’ietä, što miehellä männä kuun, n’in pidäw venčaiččiečie.
","плохо не нужно жить, нужно законы знать, если замуж выходить, так нужно обвенчаться."
"Äššen ruvetah elämäh toin’e toizenkena, a vain n’iin elät venčatta, n’in toko šanotah: kuolduoh šie rubiet tul’izešša ruškiessa vaššešša palamah.
","Тогда лишь будут жить друг с другом, а вот если так живешь, не обвенчавшись, так обычно говорят: после смерти ты будешь в огненной красной меди гореть."
"I kaikenmuozet on šuwret zastuavat kuolduo, vettena kaikenmuoz’ista šuwr’ista r’iähis’tä pidäw yl’en mahtua vardeil’iečie.
","А всякие разные большие преграды будут после смерти, ведь от всяких больших грехов нужно уметь остерегаться."
"Rod’it’el’oida ei pie gor’ewttua.
",Родителей не надо огорчать.
"Kaikein šuwr’iin r’iähkä, toko šanotah.
","Самый большой грех, обычно говорят."
"Rod’it’el’an gor’ewtanda da, on kaikein enämmäl’d’i nakažiw Jumala oman lapšen, gor’ewtat rod’it’el’an.
","Огорчение родителей да, больше всего Бог накажет своего ребенка, если огорчишь родителей."
"I rod’it’el’an šana, kuin rod’it’el’a gorewduw oman lapšen piällä, što miks’i hiän gorewtti, n’iin hänen kuin prokl’an’iw.
","И родительское слово, если родители загорюют из-за своего ребенка, потому что огорчил, так его проклянут."
"N’in vet läbi muašta mänöw tämän šanankena.
",Так ведь сквозь землю уйдет вместе с этим словом.
"I yl’en nagol’e varattih, što rod’it’el’oida ei pie n’ikonža gor’ewttua, štobi rod’it’el’an šana yl’en on kal’l’is’ i gorewttua n’ikonža ei pie.
","И всегда очень боялись, потому что родителей не нужно никогда огорчать, потому что родительское слово очень почитаемое и огорчать никогда не надо."
"Oi…
",Ой…
"- Pyhänäpiänä ei voinun ruadua?
",- В воскресенье нельзя работать?
"Pyhänäpiänä ei annettu, kumbaz’illa kuin jo šai, piäštih kir’ikköh lapšet.
","В воскресенье не давали, кто уже мог, так ходили в церковь дети."
"Emän’dä, muamo jiäw piiruada paistamah, emännöimäh nuoremminke, kumbazet ei jo vielä piäššä kir’ikköh.
","Хозяйка, мать остается дома печь пироги, сидеть с младшими, которые еще не ходят в церковь."
"A tuatto noššattelow lapšet, kun ennen ol’i äijän lapšie, noššattaw da: aštukkua lapšet kir’ikköh, i vielä zawtr’en’n’alla pid’i i...
","А отец будит детей, раньше было много детей, будит и говорит: шагайте, дети, в церковь, и еще и на заутреннюю нужно было [попасть]…"
"I mänet vielä, mis’tä šuat šeiččemellä virstalla šuaten pid’i ker’ätä zawtr’en’n’alla toko käwvä.
","И пойдешь еще, откуда и за семь верст нужно было успеть на заутреннюю обычно сходить."
"I šielä kir’iköššä kumardelemma jo kymmeneh čuasuh jo yhekšän, yks’itoista čuasu mänöw jo, nagol’e kir’iköššä vielä olet.
","И там, в церкви, молимся уже до десяти часов, уже девять, одиннадцатый час идет уже, все еще в церкви находишься."
"Tulemma jo puol’i päiviä on kir’iköššä.
","Приходим, уже полдня прошло в церкви."
"A t’iälä koissa nagol’e vuotetah, šywvä ei, štobi kir’iköštä kuin tullah, n’iin äššen jo i ruvetah šyömäh, što r’iähkä nagol’e, što pidäw vuottua konža kir’iköštä tullah.
","А тут дома все ждут, не едят, потому что когда из церкви вернутся, так тогда лишь и начинают есть, потому что грех всегда, так как нужно ждать, когда из церкви придут."
"Äššen rubiemma i kaiken šyömäh.
",Тогда лишь начинаем все и есть.
"I nagol’e jogo pruazn’iekkua vardeidih, pruaznuidih.
","И постоянно каждый праздник караулили, праздновали."
"Jogo pruzn’iekka ol’i kal’l’is’.
",Каждый праздник был почитаемым.
"Jo omah rukah hyö i pruaznuittavat oldih.
",И были свои обычаи празднования.
"- Daže pyhäpiänä pruazn’iekka, ruadua ei voi?
","- Даже в воскресенье праздник, нельзя работать?"
"Kuinbua?
",Как же?
"Pruazn’iekkana, pyhäpiänä n’ikonža, nagol’e ol’i pruazn’iekka, jogo pyhäpäiviä pruaznuidih.
","В праздник, в воскресенье никогда, всегда был праздник, каждое воскресенье праздновали."
"Aivin nagol’e, što kir’ikköh pidäw männä.
","Всегда, потому что в церковь нужно идти."
"A šidä pruaznuija, koissa ei n’imidä, ka lugiettih nagol’e Jumalan kn’ižkoida.
","А потом праздновать, дома ничего, вот читали постоянно церковные книжки."
"A nuoremmat ka gul’avolla da kunne.
",А молодые вот на гулянку и еще куда.
"Lapšet kizuamah.
",Дети играть.
"Nagol’e pruaznuidih.
",Постоянно праздновали.
"- A r’iähkä ol’i pyhänä šywvä?
",- А есть во время поста считалось грехом?
"I piät’inčänä n’iin že, što pihytyšpäivä, pidäy...
","И в пятницу так же, потому что день поста, нужно…"
"On kal’l’is’ päivä, što on Jumalan päivä.
","Почитаемый день, потому что Божий день."
"Šuwrešša pyhäššä toko nagol’e enžimäz’illä ned’el’ilöillä lapšie viid’ih pyhillä, što vain enžimäz’illä n’ed’el’ilöillä nagol’e lapšet, ei ka školah kävimä.
","Во время большого поста обычно всегда на первых неделях детей отводили на причастие, потому что только на первых неделях постоянно дети, в школу вот не ходили."
"N’iin ka škol’n’ikat enžimäz’illä n’ed’el’ilöillä kävimä pyhillä.
",Так вот школьники на первых неделях ходили на причастие.
"I pien’ie lapšuz’ie vied’ih nagol’e enžimäz’illä n’ed’el’ilöillä.
",И маленьких детей отводили постоянно на первых неделях.
"I nagol’e ka a...
",И всегда вот…
"I vanhemmat mänd’ih ka, toko nagol’e narovittih, štobi keškipyhällä r’is’t’ie.
","И старшие шли вот, обычно постоянно стремились, чтобы в середине поста крестить."
"Piät’inčänä r’iähät kyžyö, šuovattana pyhie annettih.
","В пятницу каялись, в субботу причащали."
"Šidä ris’t’il’eibiä pandih jumalakodah i puwrnuh jyvänke.
",…  Затем хлебец с крестом клали в божницу и в закром вместе с зерном.
"A keviällä kun läht’ietäh kyn’dämäh, kyn’däjä ottaw iče hawkkuaw ris’t’il’eibäštä i andaw hebozella.
","А весной когда отправляются пахать, пахарь берет сам откусывает кусочек хлебца и дает лошади."
"Tämä hyväkši allukši i kaikki ol’iis’ l’eivänke blaho.
",Это к хорошему началу и все было бы с хлебом благополучно.
"En’n’ein i stolan tagana pid’i tied’iä kuin istuo.
","Раньше нужно было знать, как правильно сидеть за столом."
"Ei voinun panna stolalla kyn’gie, nagol’e vain, štobi ka näin ois’en kiäten näis’tä šormiloista šuaten.
","Нельзя локти класть на стол, всегда только чтобы вот так были бы руки до этих пальцев."
"A što kyn’giä n’ikonža elä pane stolalla, stola vet on kuin Jumalan pr’estola.
","А локти никогда не клади на стол, стол ведь Божий престол."
"Stolan tagana ei pie nagrua, ei pie midäved’ih paissa, a pidäw šywvä iän’että vain äššen.
","За столом не надо смеяться, не надо что попало говорить, а нужно есть, молча только тогда."
"I pieneštä šuat nagol’e n’iin i opaššettih.
",И с малолетства всегда так и учили.
"I l’eibiä tože ei pidännyn...
",И хлеб тоже не надо…
"L’eiväštä ymbär’i elä koirašša, l’eibä on kal’l’is’ tože.
","Вокруг хлеба не шали, хлеб почитаем тоже."
"Elä višša, ei voinun viššata l’eibiä.
","Не бросай, нельзя хлеб бросать."
"I nagol’e l’eibä ol’i tože, ves’ma jo l’eibiä piet’t’ih kallehena.
","И всегда хлеб тоже был, очень уж хлеб почитали."
"I lapšie ves’ma vardeidih: štobi l’eibiä ei pie viškuo, lapšet, vardeigua l’eibiä, štobi ois’en l’eibä nagol’e stolalla.
","И детей очень остерегали: хлеб нельзя бросать, дети, берегите хлеб, чтобы был всегда хлеб на столе."
"El’giä viššakkua da koiraštakkua l’eiväštä ymbär’i.
",Не бросайте и не шалите около хлеба.
"Kylyh käwn’diä pidäw t’ied’iä, mahtua männä da i läht’ie mahtua.
","Нужно знать, как правильно идти в баню, знать как идти и как из нее уходить."
"Toko kuin mänet kylyh, pidäw jo olla iččiellä tože čistoina i pidäw bluasloven’n’anke männä, tallata oigiella jallalla kynnykšeštä piäl’ičči, da i šanuo ves’ma jo armahazešti: kylyn izän’däzet, kylyn emän’däzet, ottakkua milma omakši.
","Обычно, когда отправляешься в баню, надо быть самому тоже чистым и нужно идти с благословением, наступить правой ногой через порог и сказать очень ласковенько: банные хозяева, банные хозяюшки, примите меня как свою."
"Da i rubiet ka pez’iečemäh.
",И потом вот и будешь мыться.
"A kuin vielä naizet keräwvytäh da äijän naista toko, i on naizella t’iijät kuin d’ielat.
","А вот когда еще женщины соберутся и много женщин обычно, а у женщин, знаешь, какие дела."
"Ennen toko šanottih, što ka šovat, tullah šovat, rivut, da što pidäw t’ietä, štobi ei ševottua, što pidäw tolkuija hos’s’en: oletgo šie čistoi?
","Раньше обычно говорили, что вот месячные, и что нужно знать, чтобы не смешать, что нужно расспрашивать хоть: ты чистая?"
"Mie vet en ole čistoi, pidäy šanuočie da ei pie yheššä peššä, vain ugod’ie peššä konža ollah molemmilla rivut piällä.
","Я ведь не чистая, нужно предупредить и не надо вместе мыться, только угодит мыться, когда у обеих месячные."
"A to toko šanotah: ševotah rivut.
",А то говорят: перемешают месячные.
"I nagol’e ves’ma vardeil’iečettih kylyh män’dyöh, što pidäy t’ietä kuin männä i šielä tolkuiččiečie kuin olla i kuin i läht’ie, äššen šie l’ienet ožakaš kylyštä läht’iessä.
","И постоянно очень остерегались, придя в баню, что нужно знать как идти, там расспрашивать как быть и как уходить, тогда лишь ты будешь счастлива уходя из бани."
"En’n’ein toko kylyh kuin mändih, da vielä kuin ken, kellä oldih nämä rivut il’i že ka hot’ roženča, n’in...
","Раньше обычно в баню шли, да еще, если кто, у кого месячные или хоть роженица, так…"
"Roženčalla voičči männä...
",Роженице можно идти…
"No vain roženčalla ei voinun löwlyö luwva, n’ikonža ei voi, i kellä hot’ i rivut piällä ollah, šillä ei n’ikonža ei pie luwva löwlyö, a to šiwla nagol’e rubiew n’iinže palamah šiämi, što viikon rubiet nagol’e rivut nämä ribajamah, dai verellä tulomah i ves’ma l’inöy šiwla jygie, ves’ma ei pietytä viikon.
","Но только роженице нельзя было подавать пар, никогда нельзя, и если у кого месячные хоть, той никогда не надо подавать пар, а то у тебя постоянно будет нутро гореть, и долго будут постоянно месячные идти, да и кровоточить, и очень будет тебя тяжело, очень долго не остановятся."
"Kuin ševondua pidäw vardeija toin’e toizen, n’iin i löwlyö luondua pidäw vardeil’iečie, äššen lähet šie normal’noi kylyštä, a ei n’in šiwlaš l’ienöw jygie viikon jäl’geh kylyö.
","Как смешения нужно очень остерегаться друг у друга, так и нужно остерегаться пар подавать, тогда лишь выйдешь ты нормальной из бани, а нет, так тебе будет тяжело очень долго после бани."
"I lapšie toko kuin tuwvah, on i lapšinke tullah kylyh, n’in n’ikonža ei anneta kellä on rivut piällä il’i ka že šuaduoh roženča, n’in iče n’ikonža ei kyl’vetä lašta, žentän štobi hiän ew čistoi.
","И ребенка обычно приносят, с ребенком приходят в баню, так никогда не дают у кого месячные или вот после родов женщине, та сама никогда ребенка не парит, потому что она нечистая."
"Aivin, štobi ken on čistoi, n’iillä vain annettih lapšie peššä i kyl’vet’t’iä.
","Постоянно, что кто чистый, так только им давали ребенка мыть и парить."
"Šuaduoh nagol’e viid’ih kylyh lapšie, i muamonkena i lähtöw buabo.
","После родов ребенка всегда относили в баню помыть и попарить, и вместе с матерью отправляется повитуха."
"Buabo ottaw lapšen, a roženča, muamo, jäl’l’es’t’i s’iiz’imanke, štobi ei händäh šuwveldais’, nagol’e s’iiz’imanke kävel’dih roženčat kylyh.
","Повитуха берет ребенка, а роженица, мать следом со сковородником, чтобы его не сглазили, всегда роженицы со сковородником в баню ходили."
"S’iiz’imanke mänöw i šielä hiän vain omua iččiedä i t’iedäw, ei jo i kasaiččieče lapšeh, n’iin kun’i ei buabo lašta kyl’vetä da peže, hiän i istuw uglazešša, ei zavod’i i riiččiečie, vuottaw konža lapšen otetah.
","Со сковородником идет и там она только свое и знает, уже и не касается ребенка, так пока повитуха не попарит и не помоет ребенка, она сидит в углу, не начинает раздеваться, ждет, когда заберут ребенка."
"Pežöw buabo da šidä bluasloviw, štobi tullah ottamah lašta, što čistoi ois’ i ottaja, äššen i lapši l’ienöw čistoi i ožakaš.
","Повитуха моет и затем благословляет, потому что придут за ребенком, нужно, чтобы и берущий чистым был, тогда лишь и ребенок будет здоровым [чистым] и счастливым."
"Pidäw nagol’e t’ied’iä kuin hänenkena, što ei pie...
","Нужно всегда знать как с ним, что не надо…"
"Ken on vain čistoi, n’in i lapši l’iew viikon, ei l’ienöw čistoi, dai ei l’ie ožakaš, a kuin kaikki kuin šuaw luad’ie kuin pidäw, n’iin lapši ves’ma väl’iän spruaviečow i čist’iečow, i l’iew ves’ma hyvä lapši.
","Только кто чистый, тогда и ребенок будет долго, не будет чистый, так и не будет счастливым, а если все удастся выполнить как положено, тогда ребенок очень быстро поправится и очистится, и будет очень хороший ребенок."
"Rubiew hiän jo l’ihaz’ie laškomah i väl’iän rubiew hiän jo i kažvamah lähtöw.
",Будет он уже набирать вес и в рост пойдет.
"A muamolla lapšen n’ellä kymmen’dä päiviä ei anneta lašta peššä, i nagol’e hiän jo muijen jäl’geh pez’iečow, što hiän ei ole nagol’e čistoi, što hän’ellä nagol’e pidäw olla vain muista muwtettuna.
","А матери сорок дней не дают ребенка мыть, и всегда она моется только после всех, потому что она нечистая, она всегда обособленная от других."
"Nagol’e uglašša i issu, jäl’l’ičekši vain vuota jäl’gimäz’ie löwlylöidä i jäl’gimäz’ie vez’ilöidä, mi jiäw.
","Всегда и сиди в углу, жди последний пар и последнюю воду, что останется."
"I šidä kuin jo n’ellä kymmen’dä päiviä proid’iw, jo roženča čist’iečow, jo hiän jo i l’iew muijen muon’e i hiän rubiew jo i omua lašta iče jo kylvettämäh, pežemäh, jo i kaikki l’ienöw jo hänelläh ves’ma jo i hyvä ičelläh el’iässä, i hiän jo rubiew jo raduičemah, što jo i mie muijen muozekši piäz’iin.
","А потом уже, когда сорок дней пройдет, роженица уже очистится, она уже будет наравне с остальными, и она будет сама своего ребенка парить, мыть, уж все у нее будет очень хорошо в е жизни, и она уже будет радоваться, что я уже стала наравне с остальными."
"- Pid’i mahtua peššä lašta?
",- Нужно было уметь мыть ребенка?
"Lašta tože pid’i mahtua peššä i t’ietä kuin hänenkena, midä šanuo.
","Также нужно знать, как правильно мыть ребенка и знать, что при этом надо говорить."
"Pid’i nagol’e...
",Нужно было всегда…
