original,translation
(Pɨrnʼi=) pɨrnʼi mɔːt šeːrla nıŋ orɨnʼnʼa:“ Tat qaqa ašša qontantɨ?” ,"Ведьма, ведьма в дом войдя, так спрашивает [=делает]: “Ты почему не спишь?”"
Ima qɨčʼčʼɨmɔːtpa. ,Женщина испугалась.
"“Mat taštɨ tıː inna amɛntaɣ, tolʼkə moqanä qoːranɛntak”. ","“Я тебя сейчас съем, только домой схожу”."
Pɨrnʼi moqanä kurralna. ,Ведьма домой ушла.
"Ima qɨčʼčʼɨmɔːlla, mɨttɨ torqɨ orqɨlla, qɔːlitɨ mɨttɨsa natqɨlɛlʼčʼɨn. ","Женщина испугавшись, короб с мазью схватив, подмышками мазью смазала."
Na nık čʼəkäptɨrla qumɨtɨt puːtantɨ patqɨlla ılla qontaja. ,"И так быстро между людей забравшись, спать легла."
[KuAI:] Ещё медленнее. ,[KuAI:] Ещё медленнее.
"Tɨčʼčʼam mantɛːja, točʼčʼam mantɛːja, ima meːlt čʼä. ","Сюда посмотрела, туда посмотрела, женщины всё нет."
"Pɨrnʼi peːqolamnɨt, qumɨtɨt qɔːli paqqɨrɨt. ","Ведьма начинает искать, подмышками у людей щупает."
"Kojɨmmɨntɨt na paqqɨrɨntɨt, na kojaltɨntɨt, na kojaltɨntɨt. ","Всех обходит, трогает, обходит, обходит."
"“Qumɨn mun qɔːlɨjitɨ pötpa, naš čʼaptät qontɨtɨ (im-) qumɨn”,– pɨrnʼi nık kətɨŋɨt. ","""У людей у всех подмышкой тепло, (значит?), спят люди"", – сказала ведьма."
A to na ima ippɨla əːtɨkɔːl na taŋaltɨmpa. ,А та эта женщина лежа молча помалкивает.
Pɨrnʼi pona tarlä toː tiː toː qənmɨntɨ. ,"Ведьма на улицу выйдя, прочь туда далеко ушла."
İlɨmpa imaqota. ,Жила старуха.
Täpɨn muqɨn nɔːkɨr ijat ɛːppa. ,У неё три сына было.
Aːrat iːjeiːtɨ šöttɨ nɨnɨ qənnɔːtɨn. ,Осенью сыновья в лес прочь ушли.
Koralɨmɨla surɨlʼlʼa qännɔːtɨn. ,"Отправившись на охоту, охотиться ушли."
İmaqota pɛlʼikɔːlɨk qaːla. ,Старуха одна осталась.
Ukkur čʼeːlɨ čʼeːlatta. ,Один день она дневала.
“Šitämteːlʼi qarɨt qaːrnɨlʼ čʼeːlʼin omtak. ,“На второе утро утром сижу.
Qoš qai mɨta mɔːtan okon mɨrqɨntɨ mɔːtan qaj mɨrqɨntɨ. ,"Что-то будто у двери находится, у двери находится."
Mɔːnmɨ qəːntɨt qətaliqolamna. ,Чум мой набок наклоняется.
Innä čʼap mantäjak mɔːntɨ qajet qoš loːqäčʼɛnta. ,"Я вверх поглядела, что такое в чум воткнувшись стоит."
Ukkur čʼontoːqɨt loːsɨ mɔːttɨ qontɨšɛlʼčʼa (qontɨšeiŋa). ,Однажды чёрт в дом показался.
Təttɨ čʼiːtɨ qaj mottɨt. ,О землю что-то бьёт.
Nännɨ na omtɨčʼeːnta. ,Вперёд опять легонько подсел.
Puːlʼemtɨ patčʼirɛːŋɨt puːlʼemtə kət tɨšetqo meːlʼčʼit. ,"Колено свое расколол, колено, десять стрел сделал."
Tɛːttɨ šekkɨ meːlʼčʼit. ,Четыре (высекалки/спички?) сделал.
"Ɨntaːlʼtɨ lakap patqɨlɛlʼčʼitɨ čʼımɨlʼ qotko, čʼımɨlʼ qotko meːlʼčʼiŋɨt (/meːŋɨt). ","Кусок носа оторвал, посудину для клея (клея из рыбы) сделал."
Na tuːntɨsä tutqälʼɔːlnɨt meːŋɨtɨ. ,"С этим пером прилепил, сделал [стрелы]."
Na tuːntɨsä tuːtäːsitɨ. ,Это перо прилепил.
Nʼännä qəlʼlʼä nılʼčʼik na kəttɨŋɨt:“ Kutɨlʼ ijamɨ šiːlat ɛːŋija?” ,"Вперёд выйдя, так сказал: “У какого моего сына сила будет?”"
İmaqotamtɨ nılʼčʼik soqɨnʼnʼit:“ Kutɨlʼ ijamɨ sʼilat eŋa?” ,Старуху так спрашивает: “У какого моего сына сила будет?”
Ponä tarelʼa nɨna qənnäja moqɨnä. ,"На улицу выйдя, отсюда уехал домой”."
Nɨnɨ imaqota šittɨ qaj kušaj čʼeːlʼa čʼeːlʼata. ,Потом старуха два или сколько дней дневала.
"“İːjöː, tat qaj tɛnɨmɨntal? ","“Дитё, ты знаешь, что?"
Qarɨnɨlʼ čʼeːlʼɨ kuttar omtak tɛː qəlʼlʼa puːlʼe poqɨt mɔːtaqɨt qos qaj märqɨnta. ,"Как в утреннее время сижу, после того как вы ушли, на улице у двери что-то находится."
Ukkur tät čʼontoːqɨt mɔːnmɨ qəntɨt ɔːlʼčʼiqolamna. ,Однажды чум мой на бок начал валиться.
Inna čʼap mantäjap pot qəːš lʼi qaje ɛːsa mɔːnmɨ qəntɨt tɔːqqɨmpatɨ. ,"Вверх только взглянула, дерево или что такое это было, чум мой на бок давит."
Ɛh ukkur čʼontoːqɨt poqɨnä mɔːttə nılʼčʼop qontɨšein. ,"Эх, однажды с улицы в чум такой показался."
Toːlʼ pɛlaŋmɨt nʼänna qəlʼlʼa ıllä omtɨčʼeːsa. ,"По той стороне вперёд пойдя, на место сел."
Seːpɨlʼak omta puːlʼɨmtɨ pačʼerɛːlʼa köt tišetqo meːlʼčʼiŋɨt. ,"Достаточно сидел, колено разрубил, десять стрел сделал."
"Ɨntälʼtɨ lʼaka patqɨlʼɛːŋɨtɨ, čʼımɨlʼ kotqo čʼoqqolʼɛːŋɨtɨ. ","Кусок носа отвернул, клейницу воткнул в землю."
Tıšamtɨ nassa tutqälʼɔːlnɨt. ,Стрелы склеил.
“Kutɨlʼ ɛːjme iːjalʼɨ (silat) ortɨ ɛːmme šik nʼöːtɨŋije. ,"“У которого из твоих сыновей сила есть, пусть меня преследует."
Ortɨ čʼaŋkɨmä ɨkɨ šik nʼöːtɨŋɨje”. ,"Если силы нет, пусть меня не преследует”."
Mɔːttɨ šerlä nık kətɨsɨt. ,"В дом войдя, так сказал."
Toptɨlʼ qarɨt ɨnnä məːta amɨrɛːlʼa taqtalʼtɨlʼä lʼosät wättɨ ši qonnɨ. ,"На другое утро встал, покушав, одевшись, по дороге чёрта пошел."
(Omta =) nʼänna qənɨtɨ. ,Вперёд пошел.
İmaqota na čʼeːlʼɨ čʼeːlata. ,Старуха этот день проденевала.
"Üːtɨt ɨlʼlʼe lɨpqɨmɔːnna, čʼontoqɨlʼ ijatä tüŋa. ","Вечером стемнело, средний ее сын пришел."
"Čʼontoːqɨlʼ ijatə moqonä na tüːntä, amɨrlʼä na omnɨnta. ","Средний ее сын домой пришел, кушать сел."
"“İːjöː, tat qas qaj tɛnɨmɨntalʼ? ","“Дите, ты что-нибудь знаешь?"
Tɛː qəssɨlɨt šitɨmtälɨlʼ čʼeːlɨ qarɨt kutar omtak. ,"Вы ушли, на второй день утром как сижу."
Ukkɨr tət čʼontoːqɨt miːti mol mɔːtaqɨt qos qaj wärqɨnta. ,"В одно время будто, мол, в дверях что-то такое есть."
"Qəː, qəː! ","Ой, ой."
Ɨnnä čʼap mantak qos qajet qəš mɔːnmɨ qəntɨt tɔːqqɨmpatɨ. ,"Вверх только я взглянула, что-то такое чум мой на бок давит."
Nɨnɨ mɔːttɨ nılʼčʼop qontɨšɛːnta. ,Потом в дом такой показался.
Montɨ muːčʼirɨmpa pisɨrɨmpa. ,"Видать, улыбается и смеётся."
Toːlʼ pɛlʼaqtɨ čʼiqɨlʼtɛːlʼä omtɨčʼeːnta. ,"На ту сторону [чума] шагнув, сел."
Seːpɨlak omta puːlɨmtɨ patčʼirɛːlʼä kət tišetqo meːlʼčʼiŋɨt. ,"Немножко посидел, колено разрубив, десять стрел сделал."
Ɨntälʼtɨ patqɨlɛːlä čʼımɨlʼ qotqo meːlʼčʼiŋɨt. ,"Нос свой оторвав, котелок для клея сделал."
"Čʼeːlʼtätɨlʼ pɛlʼäqtɨ nɔːnɨ lımpɨt tuː mišalnɨt, tuː mišallä tišemtɨ nasä tuːtqälʼɔːlʼnät. ","С солнечной стороны чума орлиное перо взял, перо взяв, стрелы этими [перьями] заклеил."
"Seːpɨrɨptäqɨntɨ kutɨlʼ iːjalʼe ortä ɛːptäqɨntɨ, šip nʼöːtɨŋɨje. ","“Если сможет, если у кого из твоих сыновей будет сила, меня пусть преследует."
"Ortɨ čʼäŋɨmä, ɨkɨ šik nʼöːtɨŋɨje. ","Силы если нет, пусть не преследует”."
Loːsɨ nı kətɨŋɨt. ,Черт так сказал.
İːjatɨ qaj kətɛntɨtɨ. ,Сын что скажет.
Šäkka. ,Проночевал.
Toptɨlʼ qarɨt məːša taqtaltɨlʼä loːsɨp nʼöːlʼä qəntɨŋɨt. ,"На следующее утро встал, одевшись, чёрта догонять пошел."
Nɨnɨ šittalʼ imaqota čʼeːlʼata üːtontɨ qənna poːs kɨpa ijatɨ tüːŋa. ,"Потом второй раз старуха продневала, когда настал вечер, самый маленький сын пришел."
"İjatɨ porqɨlʼ, peːmɨtɨ toː tıːtɛːlʼa ıllä na omnɨnta. ","Сын ее свои бокари с одеждой сняв, сел."
"“İːjöː, tat qos qaj tɛnɨmɨntalʼ? ","“Сын, ты что-нибудь знаешь?"
Tɨmtɨ lʼoːsɨ na tüːnta. ,Тут чёрт приходил.
"Šittälʼ qarɨt mɨta omtak, mɔːtaqɨt qos qaj märqɨnta. ","Второе утро будто сижу, в дверях что-то находится, вроде."
Ukkur čʼontoːqɨt mɔːnmɨ qəntɨt qəːtalʼilʼčʼɛnta. ,Однажды чум мой набок наклонился.
Ɨnnä čʼap mantɨrnak qos qajet qəš mɔːnmɨ qəntɨt ɨpqɨlpatɨ. ,"Вверх только взглянула, что-то такое чум мой на бок давит."
Lʼoːsɨ ira mɨta qontɨšɛːŋa. ,Старик-чёрт будто показался.
Ɨntälʼtɨ patqɨlɛːlʼä čʼımɨlʼ qotqo loːqɨrɛːŋɨtɨ. ,"Нос свой оторвав, котелок для клея торчком поставил."
İːjalɨ silata (ortɨ) ɛmmä šik nʼöːtɨŋɨje. ,"Если у кого из твоих синовей сила есть, пусть меня преследует."
"Ortɨ čʼäŋɨmmä, ɨkɨ šik nʼöːtɨŋɨje”. ","Если силы нет, пусть не идёт следом”."
"İːjatɨ əːtɨtɨ čʼäŋka, ıllä qonta. ","У сына слов нет, спать лёг."
"Toptɨlʼ qarɨt ınnä na mäšintɨ, amɨrɔːlna, omtɨčʼeːnta. ","На следующее утро встал, поел, сел."
Lʼoːsɨ ira kuttar omtɨsa täm aj nılʼčʼik omtɨčʼeːnta. ,"Как чёрт-старик сидел, он тоже так сел."
Puːlʼɨtɨ pačʼirɛːlʼa qɨpijatɨ aj köt tišä meːlʼčʼitɨ. ,"Колено свое расколов, младший [сын] тоже десять стрел сделал."
Ɨntelʼtɨ patqɨlɛːlʼa täp aj čʼımɨlʼ qotko meːlʼčʼitɨ. ,"Нос свой оторвав, он тоже котелок для клея сделал."
Nɨnɨ šittälʼ čʼelʼtɨ ɛːtɨlʼ mɔːtɨ pɛlʼäktɨ qorrɨmɔːllä. ,"Потом на второй день (на?) сторону чума, повернувшись (сел?)."
Tɨšemtɨ nasa tuːtälʼčʼit. ,Стрелы этими [перьями] обклеил.
Toː qənna lʼos mättɨ šuː. ,Прочь ушел по дороге чёрта.
"Nɨnɨ iːja nʼöːlʼa na qənnɨtɨtɨ, na nʼöːntɨt. ","Потом сын, догоняя, пошел, догоняет."
"Lʼoːsɨ mɨta nılʼčʼik qənnɨmpa, nılʼčʼik qənnɨmpa mit olʼa surɨt tuː qorrɛːmpat. ","Лос будто так шагал, так шагал, будто бы птицы [=зверя] перо провел по снегу [=распорол]."
Nɨnä na qəntanäː. ,Потом опять пошел.
Tɨmnʼäqımi mɨta aj qorasä šäqɨmpɔːtɨt nɨnɨ qənpɔːtɨt. ,"Братья мои, мол, опять в яме в снегу [=на песке] ночевали, потом поехали."
Nɨna tülʼčʼa. ,Отсюда дошел. (?)
Loːsɨ montɨ kɨpɨlʼa tiːtäkat pɔːrɨqɨt nɨmtɨ šäqqɨmpa aj nɨmtɨ šäqqɨmpa. ,"Черт, видимо, на макушке у маленькой птички, там ночевал, снова там ночевал."
Ukkɨr čʼontoːqɨt aj šäkɨmpɔːtɨt aj qoräsä šäːkɨmpɔːtɨt. ,"Однажды опять ночевали, опять в яме в снегу [=на песке] ночевали."
Qajes montɨ tɨmnʼaqımɨ kutar tüːmpɔːtɨt? ,"Ой, видать, братья мои как приехали?"
Tolʼčʼilʼ tɔːktɨ kutar totta nılʼčʼik totta. ,"Лыжи и всё прочее как стояло, так и стоит."
Sɨrɨ tɔːtɨk iːmpatɨ poːqät mättɨ ni qaj čʼäŋka. ,"Снегом всё занесло, на улице ни следов, ничего нет."
Na qumɨp lɨntɨt toːpɨt čʼiːrɨ qotta čʼap orqɨlnɔːqij. ,"Этого человека хотели (?) за локти (?), едва не схватили."
Šitɨ lɨntɨt čʼarɨ qätɨŋɨtɨ tarɨ täqɨmpɔːtɨt nɨnɨ mɔːttɨ šerna. ,"Двум… голос сказал, пока(?) они высохли (примолкли), потом в чум зашел."
Mompa qum šintä märɛːja. ,"Мол, человек живой(?) показался(?)."
Qum šintä nılʼčʼik kətɨt. ,Человек (?) так сказал.
Pitčʼet tuːšip muntɨk ammäit. ,Строганину из щуки всю съел.
Pitčʼa tušim amnɨtɨ. ,Строганину из щуки ест.
Ukkur čʼontoːqɨt qup na montɨ ütšilʼa təːka. ,Однажды человек сильно(?) пить захотел (?).
Loːs nalʼa mompa munɨmtɨ tutɨrɨt. ,"Дочь чёрта, мол, палец свой грызёт."
Ukkur tət čʼontoːqɨt qɔːtɨ mɨta:“ Pitčʼat moqal tutɔːlläp”. ,"Однажды, наверное будто: “Спину щуки (спинной мозг, кости) погрызу”."
Pitčʼat moqal tutɔːlnet miːti mɨta ütälʼ qalap ütɨŋɨt. ,"Спину щуки погрыз, будто бы ковш воды выпил."
Pitčʼa muntɨk ammeit. ,Щуку всю съел.
"Peːqqɨt šutɨlʼ lʼaka muːširɨtɨ, muːširɨtɨ. ","Кусок лосиной лопатки варил, варил."
Muːširɨlä ontɨkine küːmɨlʼ lətɨ tıːtɨtɨ toːna mäčʼimtɨ iːjanɨk tıːtɨtɨ. ,"Сварив, для себя мозговую кость вытащил, то мясо парню вытащил."
Mompa na päqɨt kumɨlʼ lakap tutɨŋɨtɨ i sɔːntɨŋɨtɨ. ,"Мол, этот кусок лосиного мозга грызёт и играет."
Ukkɨr tət čʼontoːqɨt ijap čʼap čʼatɨŋɨt mɔːtät maːkqɨp tarɨ matqɨmpa. ,"Однажды парня… едва не бросил бревно от дома, пока(?) торчком стоит."
Uːquːquː! ,Ухуху!
Tintena iralʼ imalʼ tıːmonɨ nɔːnɨ putɨlmɔːllä tintena qənɨŋnɨ sajep qaː čʼap muːčʼitap? ,"От зубов тех моих(?) старика и женщины отскочив, того (моего)? зятя глаз зачем чуть не выколол(?)?"
Nɨnɨ timnʼatɨ paqtɨlʼä qara mišalnɨt. ,"Потом брат его, побежав, вытащил."
İlʼčʼatɨ mɨta:“ Uquuu nelʼčʼɛntak pöːtɛntak”. ,"Дедушка, мол: “Ухуху, вспотею, и мне тепло станет”."
“Nʼiːrɨlʼ tıːmona tɔːpɨqɨnɨ qəːnirana sajep qaː čʼap muːčʼitap aaaaa!” ,“У меня от основания (молодых/молочных)? зубов тесть глаза зачем едва не выколол аааа!”
Leːpä toːlla tintäna päqqɨt lolʼ lakap toː sappɨšeiŋɨtɨ (toː tıːtɛːŋɨtɨ). ,"Потом(?), побежав(?), тот кусок лосиной кости вытащил."
Nalʼatä nılʼčʼik na kətɨntɨt. ,Его дочь так сказала.
“To nɨmtɨ tɨtɨt porä ippɨnta. ,“Эта там кедровая верхушка лежит.
Tat tɨːnɨ pona na tannɛnantɨ qət čʼunčʼoqɨt čʼatɨ matqɨmpa. ,"Ты отсюда на улицу выйдешь, (в сенях) колотушка стоит."
Namɨp äːsäp čʼoqɔːlpatɨ. ,Это мой отец воткнул.
Tat na čʼatɨ mišallä paqtäš! ,"Ты, эту колотушку взяв, беги!"
Čʼatɨ lakap miːšɔːllä nɨːmɨt toː na paqtɨnta nʼöːlʼa qəntɨtɨ. ,"Колотушку взяв, по этому месту туда убежал, догонять бежал."
"Na ippɨtɨlʼ tɨtɨp pɔːrɨ lakap čʼatɨsä qərɨŋɨt, qərɨŋɨt. ","Этот лежавшую кедровую верхушку колотушкой бил, бил."
"Nɨnɨ tiːntäna na ija moqɨnä kuralʼna amɨrsamtɨ orqɨlnɨt kostɨrlʼamta (amɨrsat, amɨrsat). ","Потом тот этот парень домой убежал, деревянную миску схватил, кастрюльку (миска, миска)."
Kostrʼulʼantɨ əttɛːŋa. ,В кастрюлю спрятался.
"Los-ira mɔːttɨ patqɨllä tona mɨp qättɨmpat, tam mɨp qättɨmpat ni kun aj čʼäŋka. ","Черт-старик в чум пробрался, то бьёт, это бьёт, нигде нет."
"Nɨnɨ toːnam qättɨmpat mɔːtqɨt, tamɨm qättɨmpat, ni kut čʼäː, ni kut čʼäː. ","Потом то бьёт в чуме, это бьёт — нигде нет, нигде нет."
Čʼap mantɛːja mɔːt ɨlɔːqɨt tap omta. ,"Он едва взглянул, дом (внизу дома? внизу?), этот сидит."
Na paqtɨnta tap okoškat qanɨkɨt səːtɨ nɨːna taŋaltɛːnta. ,"Выбежал, около окошка гроб, там затих."
"Tat na saltɨp na čʼatontɨ lakasä naša qəːrätɨ, qəːrätɨ, mol oːlʼot üːqɨlʼelʼčʼɛnta. ","Ты этот пень этой колотушкой столько колоти, колоти, мол, голова его потащится (а не сам пойдет)."
A əːlet üːkɨlʼelʼčʼɛnta. ,А голова его потащится.
"Pona paqtɨlʼe na čʼatɨntɨ lakap mišallä qənna, okoška na oqät …. ","На улицу выбежав, эту колотушку взяв, пошел; окошко…"
"Saltɨp qərɨŋɨt, qərɨŋɨt. ","Пень колотил, колотил."
"Los-ira nɨːnto nɨːnɨto oːlöt üːqɨlʼelʼčʼa, aj oːlöt toː üːqɨlʼelʼčʼa. ",Черт-старик оттуда(?) слабо потащился …. тоже слабо прочь потащился.
Mɔːttɨ kurolʼna tɨntena loːsɨt nalʼän nɔːna mɨka toː mešalnɨt. ,"В дом побежал, тот, который у дочки чёрта иголку отобрал."
"Ni kut čʼä, ni kut čʼä. ","Нигде нет, нигде нет."
Puršimɔːtıːja. ,Надоело.
"“İlʼčʼa, tat qaj peːŋal? ","‎“Дедушка, ты что ищешь?"
"Loːsɨ ira pisɨnʼnʼa, loːsɨ ira täkkelʼa mannɨmpat. ","Черт-старик смееется, чёрт-старик вниз по течению смотрит."
"Qət mɔːtan ɔːqɨt mɨta po na matqɨmpa, nɨːŋɨlʼe ottelʼčʼa. ","В сенях, в дверях, мол, палка вот торчит, туда спрятался."
"Tap čʼatɨ lakasa naša qərät, naša qərät. ","Этой колотушкой столько наколоти, столько наколоти."
Nɨːnɨ ınnä oːlöt üːkɨlʼelʼčʼɛnta. ,Потом он вверх ойкая потащился.
"Nɨnɨ tantɨlʼe əːtɨmɨntɨ, naša qərɛːtɨ, naša qərɛːtɨ. ","Потом, выйдя, правда, столько наколотил, столько наколотил."
"Nɨːnetɨ əːlʼöt na üːkɨlʼelʼčʼɛnta, mɔːttɨ šeːrlʼa na pisɨrmɔːtija. ","Оттуда слабо потащился, в дом зайдя засмеялся."
Šäqqɨnta. ,Ночевал.
Toptɨlʼ qarɨt innä mäšilʼe čʼoip na ütɨntɨt. ,"На следующее утро поднявшись, чай пил."
"Čʼoj na ütɛntɨt, amɨrejnta, amɨrlʼe qɨːqɨllʼe täːto ɛsälɔːlpa. ","Чай попил, поел, закончив есть, туда-сюда так стал."
Pona paqtat seːp moːrɨ qup qaj qaːtampa. ,"На улицу выбежал, немного погодя человек что, куда делся."
Okkɨr tät čʼantoːqɨt tüːlʼčʼenta čʼıːmɨlʼ lʼiːpɨp qoːtältɨmpatɨ. ,"Однажды приехал, он куском черемухи хрустит."
Täp tänɨrlʼe nık kətɨt:“ Čʼıːmɨp qaj kun qolʼčʼimpat? ,"Он, подумав, так сказал: “Черёмуху что, где нашел?"
Qɔːt man mannɨmpɨsam ɛːna”. ,"Наверное, я посмотрел бы”."
Tep aj ponä läpätɔːlna. ,Он тоже на улицу выскочил.
Qəəə montɨ toːt čʼɔːtɨ qaj kuralʼna. ,"Ой, видать, туда что ли побежал."
Loːsɨ ira qaj toː čʼɔːtɨ qonɨčʼa načʼe na qənta. ,"Черт-старик что, туда увяз (сходил), туда и он пошел."
Nəəə,"čʼap qoŋɨtɨ tüː tap čʼiːqqɨmɔːtpa. ;Ох, только нашел - огонь этот дымит."
"Mɔːttɨ čʼap šeːrna, montɨ nilʼčʼilʼ loːsɨlʼ imɨlʼa omta. ","В чум едва зашел, видать, такая чёртова бабушка сидит."
Ollɨtɨ olla čʼıŋkɨt tuː pinpa. ,Голову как будто перо лебедя положено.
Ɨnna sɔːlɨmtɨ na čʼäːp orqɨlnɨt na qumɨp pačʼalqo. ,"Молоток только схватила, чтобы этого человека изрубить."
Sɔːlɨmtɨ na čʼäp orqɨltɨt. ,Молоток только хватает.
Čʼıːmɨtɨ mišallʼe moqonä tatɛjet. ,"Черёмуху забрав, домой принес."
Nɨnɨ nılʼčʼik ɛsalɔːtɨn loːsɨn. ,Потом так стали чертями.
Loːsɨlʼ imaqota čʼumɨlʼ lösa ılla qumpa. ,Чертова старуха от черемуховых костей умерла.
Nʼajip amɛːlʼa polla illa. ,"Хлеб съев, проглотила."
Loːsɨlʼ mɔːt čʼap tüːŋɔːtɨn čʼuːrɨlʼa omtijɔːtɨn. ,"Чертововы домой только пришли, плача сели."
Nälʼätɨ nɨlʼčʼik kətɨŋɨtɨ. ,Дочь так сказала.
“Nɨnɨ ponä paqtɨptäqɨntɨ mɔːtan ɔːqtɨ čʼapqaš tottɨŋɨlit. ,"“Потом, когда он на улицу побежит, около порога капканы поставьте."
Tan mɨta pona paqtɨptäqɨntɨ. ,"Ты, мол, когда на улицу он побежит…"
Poːsa qättalʼnɨlʼit”. ,Палками бейте”.
"Nɨnɨ moqonä tüːlʼe čʼıːmɨlʼ lʼiːpɨp qoːtäptɨmpatɨ, qoːtäptɨmpatɨ. ","Потом обратно придя, кусок черёмухи немного грызет, немного грызет."
Mompa qumɨt šintɨ märeja. ,"Мол, люди тебя (?)."
Nılʼčʼik ɛsälɔːlpa loːs ira sepelak ɛːlʼa sämnälʼä moːttattätɨ. ,"Так становится чёрт-старик, немного погодя (до дверей)? (откуда тебя держали)?."
"Qəː, qəː čʼap qənna tintena ämäp (amamɨ) laŋat oqɨllɨsa tokkɨmɔːlla quŋa. ","Ой, ой - едва пошел этот - моя мама, язевыми жабрами подавившись, умерла."
Laŋat moqal lä poːllɛːlʼe quŋa. ,"Язевую спинную кость проглотив, умерла."
"Loːsɨ ira moqɨnä tümpa čʼuːreːptɨmpa, čʼuːreːptɨmpa. ","Черт-старик домой пришел, поплакивает, поплакивает."
Lɨpkomɔːtɨimpa. ,Стемнело.
"Nu čʼelʼiŋɛːlʼa, pona paqta, ponä läpätɔːlna. ","Когда светло стало, на улицу выбежал, на улицу выскочил."
Nälʼatä nılʼčʼik na kətɨt. ,Дочь его так вот сказала.
“Pona paqtɨlʼe täp čʼapqoš na tottɛntɨtɨ. ,"“На улицу выбежавши, он капканы понаставил."
Tat pona tantɨptäqɨntɨ posä qätalʼtɨ. ,"Когда ты на улицу выйдешь, палкой начинай колотить."
Muntɨk rakšältättɨ”. ,"Все чтобы ты брякнул (чтобы капканы, захлопнувшись, издали брякующий звук)”."
"Nɨnɨ loːsɨ ira mɔːttɨ šeːrlʼä puːlʼa, täp pona tanta. ","Потом, после того как чёрт-старик в дом зашел, он на улицу вышел."
Muntɨk posa qätalʼnɨt. ,Все (капканы) палкой начал бить.
Loːsɨt čʼapqoš muntɨk rakšaltɨtɨ. ,Чертовы капканы все заставил брякнуть (позакрывал).
