original,translation
iɣətʔəm tumɣət niwqeet.,Сейчас друзья говорят:
ənrʔam ɣereqəɬin murɣin ənpəŋewŋe teŋewət rəɣətkukinet tut... tənuttəɬerkət tənutsirɣʔi.,«Что происходит сейчас с нашей старшей дочкой — тут же появляются расчёсы и опухает она».
ənkataɣnepə ɣatanpaajɣəm ənqo rəswok.,С тех пор я перестала есть личинок.
и ətɬəɣən ŋarɣənen najwə… ajɣəsqəŋqas nəwakʔotwaqen nəreqəqin nə… nə… nenarənŋəqin ottəɬɣən.,"Отец на улице, с северной стороны, сидел что-то делал, строгал деревяшку."
ənkataɣnepə nərəswantojɣəm qonpə nək… nəkeɣənmiɬɣətewiɣəm.,"С тех пор я всегда, когда достаю личинок, руки мою."
и mesənkə.,И хватит.
ɣəmnan wane mətitqetɣʔen.,Я не проглотила.
jəkərɣən ninejpəqin niniwqin qətitqetɣən.,"Рот мне закрыла (когда опрокидывала, чтобы залить), сказала: «Глотай!»."
ɣəmnan ɣi… ɣəmnin ɣesejotte teŋewət toməkaɣtə ninejəɬiɣəm rəswat кто meŋin ɣesejotte taɣjaŋqen rəswaɣtə.,"Я собранные личинки тут же другим отдаю, кто хочет личинок."
ɣəm neməqej нрзб это nə... nərəswaɬəŋəttəqenat neməqej ɣəm nəwinretiɣəm nərəswantojɣəm.,"Собирали личинок, я тоже помогала, доставала личинок."
нрзб ənəɣ ŋawjoɬa jəkərɣəsəkoɣtə ɣenpətkəntewɬin rəswaɬɣən.,«Ей двоюродная сестра в рот раздавила личинку».
qutənʔəm iwnin.,Другая отвечает:
iwke mənərəswomək.,«Давай поедим личинок».
и naqam niniwiɣəm.,Я же говорю:
rəpətkəntawjo tʔənin нрзб.,"И то, что было внутри личинки (букв. разорванное), вылила."
miŋkəri məninməkʔəma.,«Куда направимся?».
kowɬorwoor ЗИЛ 157 kowɬorwətkoɬʔən tanŋənotajpə jetəɬʔən.,Водитель «ЗИЛ-157» приехал с материка.
ɬʔu nenaɬwawmore.,Найти не можем.
ɬʔeɬeŋrʔuke tekem quuɬʔetək ŋutri najməqaat enməɣeŋetəŋa.,"Зимой, где-то в декабре, сюда ездили за водой под бугор."
peɬqəntenmək wizʲdʲikotʲetəŋ.,Мы вернулись в вездеход.
nəŋərʔatwaqaat tanŋəta.,Размышляли русские (в подавленном состоянии):
ənŋin qənəɣjiwetərkən miŋkəri nəɬerkən.,"Показывай направление, куда ехать»."
ətrʔes.,Конец.
ikwʔiʔəma.,Сказал:
qeeqən awjetkənka wetsatwaɣʔem.,Какое-то время молча постоял.
jep inʔəŋqas ɣatəmŋewɬen taɣmənɣətsʔetə təɬikʔəm.,"Ещё с утра потерялся, в десять часов."
tenkaŋkasɣərɣəkʔəma turkeŋkeɬete weemqejsəku asəmʔətʔəməjoɬɣəsəkojekwe mətɬaŋŋoməkʔəm totrʔet mətjʔoɣʔan.,"На этом спуске, вдоль спуска, в речке, внутри протоки начали ездить, нашли свежий след."
sejwe tjopatən kaŋkasɣərɣən.,Пешком сходил проверить крутой спуск.
rʔenut.,Что ж...
ʔejŋewətkumuri enarerək.,Позвали нас искать.
miŋkə winwət ewən mətrajʔoŋəna mətrantəmŋewŋŋoŋən mənkənpətkoɬʔatəŋŋoməkʔəm.,"Где следы начнём терять, там привяжемся (букв. начнём петлять)»."
enmes woɬqətweŋŋo wuɬqətwiɣʔim.,А уже вечер настал.
enməɣeŋkə nətwaqaat.,Под бугром они были.
muri ɣetumɣinete ŋutkete mətwinwəteɣnenmək ajwaswaamɬəŋata sama rosɣetə.,"Мы с напарником здесь проверили следы, вдоль южной стороны реки, и на другой берег (отправились)."
qorəŋa waj ənkə rosɣatama waamɬəŋata jənrətsiɣe... jənrəɣeŋətko mətwinwəteɣnennete.,Потом там на том берегу у подножий обрывистых скал посмотрели.
kabinak qəŋeɬqikwʔʔma ʔəttʔəjoɬwizʲdʲixodəkʔəma.,"«В кабину садись, в передний вездеход."
ʔemi taŋtəmŋekwʔe.,Где-то сильно потерялся.
opopəŋa torɣənan sinit qenarerərkənetək jəqqej raɬmaɬawŋətək ɣəmnan reqən iwək.,"Лучше уж тогда сами ищите, раз вы не слушаете, что я говорю»."
qeeqən ewəsaɣtə ajɣəpə ŋenri waamjekwe qojwətkənata tarqojwətkənata mətɬeɬʔenməkʔəm.,"Ещё дальше туда вниз, против ветра, вдоль реки, по льду, по режущему льду, долго ехали."
ɬuut ŋeraqəsʔetə nəkite mətənrənɣiiwən kowɬorwoor.,Наконец в два часа ночи нашли машину.
naqam kowɬorwətkoɬʔən ɣaɬɣemətqətaɬpəŋŋoɬenʔəm.,А у водителя совсем заканчивалось топливо.
waam ewəsaɣtə eɬqəɬinətək ajwasəŋqas ujŋe rʔet ɬoŋrʔetatəɬʔən.,"Вниз по реке прошлись, с южной стороны следов нет, не наследил."
naqam eek nəwitʔəteɬpəqin.,Но на лампе заканчивался фитиль.
ɣərɣoɬaɣtə naakatwaqaat.,Наверх светили.
qorəŋa ʔemi jepŋa quttiŋa nʔatsaqaat ʔorawetɬʔat.,Потом где-то ещё других ждали людей.
qoraɣənretəɬʔət wesʔəma nʔjetənete mənʔumekenməkʔəm wenratənwo.,"Оленеводы, наверное, могли бы приехать, и мы вместе собрались бы помочь»."
ɬuute wuɬqətwike ŋerʔamətɬəŋsʔetə ɣaɬake ososaŋa главный zaatʲexnʲika inʔejŋekwʔi enawetɣawjoɬɣətkoʔe ikwʔiŋa.,"Вдруг вечером, после семи часов, начальник — главный зоотехник — позвал меня, позвонил по телефону и сказал:"
ɬɣiʔeqeʔewkə waɬʔən tanŋososʔəm tikwʔena.,Очень упёртому русскому директору сказал:
ənqen ɬəɣen rʔet mətərkəɬeɣʔenʔəm.,Прямо по этому следу шли.
ŋoonre ɬm... ajɣəsqəŋqasʔəm ɬəmənkəri ɣaɬɣirʔetatɬaɬen.,"Туда, в сторону севера, повсюду наследил."
wəɬɣəkirzowəjsapokɬʔənʔəma ewte džinsəqonaɣəɬʔən ewər teŋewətqej teɣnʔəqewjaŋŋoɣʔan ənəki nʔəmətqəteɬpəɣʔan ɣajmaŋen nʔəqitəwʔiɣʔen.,"В тонких кирзовых сапогах и джинсовых штанах, сейчас же замёрз бы, если бы вдруг закончилось топливо, возможно, замёрз бы насмерть."
naqame ʔejŋewətkurkənitək winrettumɣʔʔm.,«Зачем вы нас зовёте помогать?
tiwən ososa.,Я сказал директору:
etʔopeɬ ŋoonre ajɣəpə mənɬeɬʔenmək.,"«Лучше туда, по направлению против ветра, поедем."
ənqorŋa ekwəjənrepə ɬuut məttamkʔəm.,Потом мимо высокого бугра вдруг проехали.
petɬe təɬəɣawerʔepəɣʔakʔəma.,Быстро надел меховую одежду.
jep ɣənməɬ inʔe kowɬorwoor ɣatəmŋewɬenʔəma.,«Ещё сегодня утром машина потерялась.
qeɬoqʔəm emnuŋkə ɣəm ɣʔuretiɣəme.,"Конечно, я родилась в тундре."
потом потом… вслед конечно ənək я s… ənəkʔəm ɣʔemetəɬenʔəme ənpəŋew ɣəmnine nuteŋewət.,После него моя сестра Нутеневыт родилась передо мной.
ətɬəɣət ətɬʔat ənqene nutewɣi и omrəkwətɣawət.,"Отец — Нутевги, и мать — Омрыквутгавыт."
это она ətɬоnʔəmət nəɬɣinəŋinqine ɣakkantoɬen ənpəsʔən ɣəmnin ənineɬʔən ənqene kotəɣərɣine ivan.,Она (мать) очень молодой родила сына — моего старшего брата Котыгыргина Ивана.
ətɬʔatŋa emnuŋkə ɣe… ɣenaɣtoɬen o….,Мать родила в тундре.
ŋireseŋe qənutʔəme ɣanraɣtatɬen ənqen qɬawəɬa tʔese emŋinqeɣɬ… emneneneɬʔeʔəm ənqen qɬawəɬte.,"Дважды замуж выходила, но только за мужчин с детьми."
ŋeweqʔəm niniwqin.,Она отвечает:
ɣəmnine iɣətkin sakettomɣət əməɬʔo kəmʔətwaɬʔənteʔəm.,"Все мои сёстры, которые живы сейчас, – Кымытвали."
memej anə məmmemeʔak.,"«Мама, ну же, дай грудь!»."
sakettomɣəqaj ujŋe ɣaɣaɬaɬenʔəm.,Младшей сестры не стало.
ənqorŋa ətɬəɣəne ɣatʔəɬəŋŋoɬen ənqen.,Потом отец заболел.
ɣaɬwawəŋŋoɬen qənwet sejwətkuk ənqene.,В итоге не смог ходить.
ənqorə ʔomrəŋa naɣtoʔan.,Потом родилась Омрына.
anə jewjew jewjew.,"«Ну же, подожди, подожди!»."
ɣəmʔəm qeɬuq ənpəŋewqeje epeqejʔəme ənqene ənpəsʔən sakəɣet ɣəməkətɬʔen enmes ənane neməqej ɣenmejŋewɬinete.,"Меня, конечно, старушка... бабушка – моей мамы старшая сестра, (нас) уже она вырастила."
neme ɣanraɣtatɬen nemeŋe ŋirʔe ŋinqeɣti wəkwətəŋatʔəm ɬʔetəqaj.,"Снова замуж вышла, и опять два сына: Выквутынат и Льэтыкай."
ənqene enmes tʔerɣiiŋit ŋerʔamətɬəŋɣeeŋeɬʔewəme panenaʔəm ənqen nəɬoojɣəm ətɬʔak ənqen.,"Где-то столько-то лет, семилетняя я ещё питалась грудью у мамы."
wətɣətsʔen neməqeje ŋeekkeqej neməqeje ɣaɣaɬaɬen.,Средняя девочка тоже умерла.
ŋinqeɣti ənan rəmejŋewninet.,Она мальчиков вырастила.
quneseŋe ʔəttʔəjoɬkenʔəm itəke qajwəkwən ətri qajwəkwəŋa.,Раз сначала старшие ... Кайвукун и Кайвукуна.
и ənqen ujŋe ɣenʔeɬɬin ɣaɣaɬata aɬəmə ŋawketɬʔan.,"И она умерла, хоть и маленькая была."
əmə ʔesek wəkwa wək… nəkwəntoqen ənqene.,"Даже когда мочился, у него выходили камни."
niwqinʔəm qeɬuq muri nəɬɣinəŋinmuri nəŋinmuriʔəm ənqene ʔəttʔəɣreen tənintəɣʔen wəkwəɬɣəqaj.,"Говорит, так как мы еще совсем детьми были, выбросили камень туда, где собаки."
ujŋe esimɣʔukəɬʔəmuri qeɬuq neməqejʔəm sitʔəm ənqene tənejoɬqəɬʔəme ŋutku retɬetjoɬqəɬ ʔinnisɣe… ʔinnisɣu ɣetejkəte ənqen wəkwəɬɣəqaj.,"Не понимали, что сначала можно его повесить как амулет на шею."
ɣəm ətɬʔata ɣenapətqənɬəwatɬen.,Меня мать второй раз грудью кормила.
qorə nemeŋe ujŋe nʔeɬək tumɣətumʔəm neme ənqene.,"Потом снова, после того как мужа не стало, снова это..."
ənqene seɬɣ… ɣaseɬɣərʔoɬenat ɣatʔəɬəŋŋoɬenat.,Все заболели краснухой.
ʔesuuɬɣəsəku ɬuut rʔenut peɣɬaɣʔe.,Вдруг в горшке что-то стукнуло.
ənqenʔəm ənkʔam ɣəm itəke.,И я ведь...
ʔesek wəkwəqaɣte… teɣnuwʔeɬeqin ətɬʔata enanəmŋəɬakwʔe ənqen.,"Мать рассказывала, что, когда отец мочился, у него вышел камень чёрный-чёрный."
потом конечно ɣəməke ɣəməkʔəme jaasəkenate.,"Потом, конечно, после меня младшие (сёстры родились)."
qətɬəɣi wəkwəɬɣəqaj teɣnuwʔeɬeqin teɣnəkeeqin ənqene.,"Оказывается, это был камень чёрный-чёрный, гладкий-гладкий."
jaɬɣətək jaɬɣət… nəjaɬɣənmore nətaraɣqenatʔəm jʔeɬəɣi ɣəm ənqene ətɬʔak taroŋəɬʔən ajkoɬatɬʔən niniwiwəm.,"Мы кочуем, строят ярангу, а я в первую очередь к маме, делающей полог и стелющей постель и говорю ей:"
ənək qasa atsʔatɣʔe нрзб.,Рядом с ней лёг спать.
jətonen.,Ворон вытащил его.
ətrʔes.,Всё.
jeɬʔoj teŋuwʔeɬeŋeɬwəɬ məjəɬɣət.,"«Братец, я абсолютно чёрное стадо тебе отдам»."
потом... ənqo nər… nəɣaɬaqen reqokaɬɣən.,Потом мимо проходил лис.
ənŋin waɬʔewəm.,«У меня такое есть».
qoɬʔəm niwqin.,Тот (ворон) говорит:
jeɬʔoj ɣəm neməqej məraɬeɣʔak.,"«Братец, я тоже прокачусь»."
tʔese kiwkinek wətku rennin ʔiŋkeɬiŋewʔenjərʔən.,Через несколько суток только привёз девушку с татуированным носом.
imərʔenut ninenejmewqin qutən qoɬʔəm qərəm əməŋ... а ʔenqu ɬəŋərkən ənŋin nəmkəse.,"Чего он только не подносил, она не хотела ничего, и так много раз."
awwetkənka nəwakʔotwaqen.,Сидит молча.
ənŋin waɬʔewəm.,«У меня такое есть».
ənqo iwnin.,Потом говорит:
rəraɣtannenʔəm iwnin.,"Затащил в дом, говорит:"
enmen ɣatwaɬen waɬwijŋən.,"Итак, жил-был ворон."
ənŋin tʔese kiwək qonpə nəraɬesetəsqewqen qonpə.,"Так, несколько раз переночевав, всё время шёл кататься."
a qoɬ wenɬəɣi wenɬəɣi məraɬesetɣʔak.,А он (лис) всё равно: «Я всё равно прокачусь».
и ɣeɬɣərʔuɬin.,И она растаяла.
ɬʔunin enmepə raɬesetəɬʔən waɬwijŋən.,"Увидел, как ворон катается с обрыва."
jeɬʔoj iwkeʔm qenaɣtoɣe teŋənnin… teɣniɬɣəqin ŋeɬwəɬ trejəɬ.,"«Братец, вытащи меня, пожалуйста, я абсолютно белое стадо тебе отдам»."
teŋəpɬəɬəŋeɬwəɬ məjəɬ.,«Евражьего цвета стадо тебе отдам».
ŋewʔenjərʔən taŋwane əmə niɬuɬʔetɣʔen.,Девушка совсем не двигалась.
ənŋin waɬʔewəm.,«У меня такое есть».
ŋeweqʔəm ŋan tikwət ənŋe araɬeka mimɬək pəkirək repəɬqetɣʔe.,"«Я же тебе говорил, не надо скатываться, приближаясь к воде, утонешь»."
enmepə nəraɬesetqen.,С обрыва катался.
jətonen.,Вытащил его.
qəɣitʔʔm waje.,«Смотри-ка!».
iʔam ɣənməjep iwkəɬʔiɣət.,«Почему раньше не сказал?».
и так... raɬesetɣʔe waɬw… jaa… jaasə re… jaasə reqokaɬɣən raɬeʔeʔəm mimɬək aŋqak pəkirək ən… ənqen niniwqin.,"Потом лис скатился и, когда он приближался к воде, к морю, ворон ему говорит:"
ɣəm matsʔatɣʔa etʔopeɬ.,«Я лучше спать лягу».
təɬɣərʔuɣʔi.,Она растаяла.
teŋkeɬiɬʔəŋeɬwəɬ məjəɬɣət.,«Я очень пёстрое стадо тебе отдам».
wenɬəɣiʔəm qoɬ niwqin wenɬəɣi и niniwqin.,"Всё равно тот (лис) говорит, всё равно говорит ему:"
wenɬəɣi neme ninʔejŋewjiwqin.,Всё равно снова зовёт его:
qərəmʔəm məɣtoɣət repə… это repəɬqatəŋŋoɣʔa.,"«Я тебя не вытащу, если будешь тонуть»."
ətrʔes iwnin titʔʔm reren.,Только говорит: «Когда привезёшь?».
enmepə nəraɬesetqen.,С обрыва катался.
aŋqak pəkerəŋŋok samʔam reriŋeɣʔe repəɬqetɣʔe.,"«Приближаясь к океану, ты не сможешь взлететь и утонешь»."
teŋʔinkeɬi… ʔiŋkesiŋewʔenjərʔən trejəɬɣət trerenŋən.,"«Я тебе девушку с татуированным носом отдам, привезу»."
ənŋin waɬʔewəm.,«У меня такое есть».
tekem inʔeʔəme qeɬuqʔəm nəsajpanmore samaʔəm ənqene erʔet neməqej amrasajoŋa.,"Утром, конечно, чай готовим, и мясо тоже, чтобы чай попить."
ənqorə qɬawəɬte norwənpetɣawqenatʔəm.,Потом мужчины строят загон из нарт.
əmə murɣine ənpənasɣəne ʔəwequsin tumɣətum ʔəwequsin ətɬəɣən mək... ɣəməɣtumɣin ətɬəɣəne.,"И наш старик, друг мужа... отец мужа, отец моего мужа..."
и nəqor... nəqoraɣərkemore ŋeweq.,И ездовых оленей по местам расставляем.
ŋewʔen!,«Жена!».
ənqene qaaɣtənoɬɣən emrenʔəɬiŋe eneqəɬpe nəsajomore ənan ŋinqeɣti nenanqametwawmore ənqorə ŋeɬwəɬ ninenʔəɬimuri.,"Чтобы стадо загнать, быстрее чай пьём, потом мальчишек кормим, потом стадо загоняем."
səmqəkʔəm etə tumɣe ʔəwequsite nenajpa... nenawjatqenat.,Остальных муж распрягал.
ɬəɣen ŋenriɬʔʔm ʔureŋenri nəɬemuri nəmɣutəɬemuri əmʔəɬoŋet.,В ту сторону и кочуем весь день.
nəretemŋətenmuri əməɬʔetə ənqene.,"Полностью освобождаем рэтэм, это..."
ninejŋemuri ŋeweqe nətiŋeŋŋəmuri orwət.,Загружаем нарты.
ну и nətaraɣmore muri ɣetumɣinete ŋinqeɣti wiine qoo miŋkə ɬəmənqo nəɬejwəqinet.,"Ну и мы с мужем ставим ярангу, а мальчишки в это время пока неизвестно где (везде) гуляют."
ŋoonqoŋe meŋqo poqepə nenanŋətoŋanmore.,"Оттуда, откуда... с зада (с узкого прохода) выводим."
ətrʔes ənqen ɬɣiinʔe nəɣjewmuri.,Только вот очень рано утром просыпались.
ʔepte qəqoraɣərke... qəqoraɣərkerkən ənqen qinewinretərkən.,"«Ты тоже оленей расставляй, давай помогай»."
morɣənan nənɬeqono ninʔejŋewmuri.,Мы называли его Нынлеко.
ənqen ninenəɣjewmuri əmə ŋinqeɣti əmə nəqametwasajomore inʔe ɬɣiinʔeqej.,"Это... нас будили и мальчиков тоже, и мы ели, чай пили рано утречком."
qorəŋe nərʔejwenmuri jaraŋə.,Потом грузим ярангу.
ɣəm... teŋempirite ənqene rərwinrəjot sejməkinet ənqenat ɣəmnan ʔataw nenajpatewəm.,Я голыми руками беру первых (самых ручных) и вторых (тягловых) оленей и ставлю их.
ninetiŋeŋŋu... ninetiŋeŋŋəmuri orwət.,Загружаем нарты.
təmŋeŋərasʔetʔʔm ɬiŋətkusʔən nəɬeqinʔəme ŋeweq nəntowerenmore əməɬʔo.,"Время уже где-то к четырём на часах идёт, все выходят."
itəkʔəm ɬʔeɬeŋkəŋe nəjaɬɣənmore.,"Зимой, вообще-то мы зимой кочевали."
ənqen wiin rəjuɬʔəne… rəjuɬʔe wiin ənqene qaaɣtənoɬɣəne nine… ninenəpkiretqinʔəm.,Это пока ночной дежурный подгоняет часть стада.
ну и ətɬonʔəm eqəɬpe ŋeweqe jep ajwe tite ʔəttʔəjoɬe ənqen rajowənwəɬ... rajowənwəɬqəɬteŋe ənpənasɣaŋe nenajopat... nineɬqərirqinetʔəm.,"Ну и он (старик) же ещё раньше, на днях, быстро разведал места для будущей стоянки."
ənpənasɣən.,Старик.
əməŋe ɣəm tumɣəne niniwqin.,И мне муж говорит:
nərejuwmuri ənqene nəqaawjanmore.,Становимся стойбищем и распрягаем оленей.
nətaraɣmore nətaroɣmore.,"Ставим ярангу, ставим полог."
ənpəŋewətʔəm qeɬuqʔəme ənqen neməqeje.,"И старшие женщины, конечно же, тоже."
ɣəmnane qeɬuq rərwinrəjot kaarʔamatəɬʔət sejməkinet ninet… nenawjatewəm itək sama.,"Я, конечно же, ручных, тех, которые в детской кибитке, и тягловых оленей распрягаю."
maskwa muri qeɬuqʔəm ɣetumɣiinete нрзб ŋirʔe ŋinqeɣti murəɣreen neməqej.,"Москва. Мы с мужем, с нами также двое мальчиков."
wenʔəm nəmejəŋqin qonərə ɬəɣenəɬɣiniwɬəqin sama.,"Совсем большой, притом очень длинный и..."
ɣamaskwantat… через… так хочется по-русски сказать ənqenʔəme ɣaweɬətkorantamoreʔm.,Пошли в большой магазин.
ɣərɣoɬat… ɣərɣoɬa… ɣərɣoɬajpə nəɬejwəmuri ənqen nineɣitemuri imərʔenut ɬəɣene….,"Сверху идём, рассматриваем всякие вещи..."
iw tiwtəɬetɣʔekʔəm təntoʔak.,"Спустилась, вышла."
məɣ… mə… mə… как и сказать короче nəmejəŋqin weɬətkoran ənqen.,"Как и сказать, короче, большой магазин."
ənkʔam təmŋewərkən iʔam ənqen.,И почему ты теряешься?»
mətəntəmŋekwət.,Мы тебя потеряли.
ənʔeqejənʔʔme ɣəmninʔəm ənqen ənpəsʔekək inikwʔi.,Его старший брат — мой старший сын — говорит мне:
təɬqərerəŋŋonat qeɬuqʔəm.,"Начала искать их, конечно."
ɬəmənqo nəɬejwiɣəm sama ɣərɣosatkənepə sama qənwet.,"Везде прошлась, и сверху тоже наконец."
opopəŋa ʔemitɬon memɬəfantan məjʔoʔan.,"Попробую-ка я сходить к [той двери], где фонтан."
kəteqej təɣitenetʔəm ənqo.,Немного посмотрела на них.
ənqenʔəme təjʔoʔanat ɬəm….,Пошла к ним.
niwiɣəm oo meŋin.,Думаю: ого! кто это?
ʔureŋunri təɬiʔe ʔemi təɬeɬʔət ʔəttʔəjoɬkenat.,"Повернулась в ту сторону, где были те, кто шёл впереди."
niwiɣəm ʔemi ənrʔam.,Думаю: где же они?!
ənnensʔen tətəɬ təntoʔanʔəm tʔatsaŋŋoʔak ənqen nən….,"Прошла первую дверь, стала ждать."
nəɬejɣəm ɣərɣosatkən… ɣərɣosa… ənqen nineɣitejɣəm ʔemitɬone fantan.,"Прошлась поверху, посмотрела там, где фонтан."
jeeej ənŋataɬ ʔetki niwiɣəm waj təntəmŋewtək.,"«Эх, как же так», — говорю я, — «я вас потеряла»."
ʔajəŋ… ʔejŋeɬʔetɣʔi kəteqej qeɬuq et….,"Поругался какое-то время, конечно."
niwiɣəm aɬəmə meɬnəmkəqine tətɬətəɬ ŋotqorə ŋətoɣərɣən waɬʔən.,"Думаю: вроде было много входных дверей, много выходов оттуда."
qətɬəɣiʔm ənqen wetsatwaŋŋoʔeʔm.,Потом начал стоять [и ждать].
ʔomrən qətɬəɣi.,"Оказывается, Омрын."
nəmkəqin tətɬətəɬ aɬəmə.,Много дверей ведь было.
iʔam meŋqorə nəɬejwəɬʔetiɣət.,«Почему ты везде бродишь?
ateqajəna neɬqərisəqi… neɬqərirsəqikwət.,Папочка пошёл искать тебя».
təntəmŋewənat.,Я их потеряла.
ənqen ʔomrənəna нрзб.,Я Омрына спрашиваю:
qətɬəɣi pɬeqqeɣti tə… təɬʔunet.,"Между тем, я увидела сапожки."
niwiɣəm ənŋataɬ jəqqajʔəm waj ənqenat pɬeqqeɣtiʔəm.,"Думаю: вот это да, какие красивые сапожки!"
ŋoonqo ənʔeqej fantanək qasa nətwaqen.,«Вон брат находится возле фонтана.
ʔemi quttiŋe ʔemiʔəme ʔemi ateqaj əmə ʔemi ənʔeqej.,"«Где остальные, где папочка и где брат?»."
qutti nəntoqenat ənqorʔəm.,Другие выходят оттуда.
qətɬəɣi ənqen ɬuute… enarkəp… enarkəpsətkoɣʔe ŋinsʔekketeʔəm.,"Оказывается, как хорошо, что стукнул меня младший сын."
əm... əməɬʔetə ŋeɬwəɬ tre... mətrejəɬɣət.,«Всё стадо тебе отдадим».
sajkokaqaɣeɣət qititɣi.,"«Чайничек, варись»."
tumɣe iwnin ŋewʔenjə... ŋewʔen.,Муж сказал жене:
qəqəmjarkəpɬətkə... а qəqəmjarkəpɬatɣe.,«Выбей иней с яранги».
и ɬuut rennin kukeŋə ɬɣinətɣəɬqin.,И вдруг приносит чайник очень горячий.
ŋətoɣʔe ŋewʔenjərʔən ənkə ikwʔi.,"Вышла жена, там сказала:"
eqəɬpe sajkok nenititɣʔen uwiʔet eqəɬpe ena... eni... enarʔenat qəmjarkəpɬatɣʔat.,"Быстро чайник сварили, сварили быстро, накрыли их (чайники), иней с яранги выбили."
niwqin.,Говорит:
nəŋʔomore.,«Бедствуем мы».
nejəɬɣʔen kukeŋə и ekwetɣʔet remkəɬʔət.,"Отдали им чайник, и уехали гости."
eqəɬpe mənrʔejwenmək.,«Быстро разбираем ярангу».
ikwʔete.,Те говорят:
jetɣʔet ɣekeŋəɬʔət rəɬɣʔat.,"Прибыли те, кто на упряжках, вошли в полог."
ɣarasajonɬenat remkəɬʔət.,Захотели гости чай пить.
qɬawəɬa iwnin ŋewʔen.,Муж сказал жене:
ənqen murɣin kukeqej sinit nəsajpatqen.,«Это наш чайничек сам чай варит».
ɣatwaɬenat ŋewʔenjərʔən ənkʔam qɬawəɬ.,Жили-были муж и жена.
qɬawəɬa iwnin.,Муж сказал:
quwiɣi.,«Вари».
remke iwnin.,Гости сказали:
neɬʔunet ɣekeŋəɬʔət.,«Видели оленьи упряжки».
ŋewʔenjərʔən ənkʔam qɬawəɬ ɣatwaɬenat.,Жили-были муж и жена.
