original,translation
"Nu i zavodin’ händast ičiin’pei vedada.
",Ну и начал его к себе тянуть.
"Hän mindei vedab, a minä händast vedan.
","Он меня тянет, а я его тяну."
"Kacun ka metrad tobnemb mugoine houk’kulu.
","Смотрю – такая большая щука, больше метра."
"Sun avaiž – minum päle mäb sin’n’a.
",Пасть раскрыла – моя голова туда войдет.
"Nu, hüvä, houg’ minei edeles hvati i siman orgho, män’ pohjha.
","Ну, ладно, щука у меня вперед кинулась и леску вниз [потянула], ушла на дно."
"Minä hänen len’din’.
",Я ее поднял.
"Minutad polenkümnešt’ minä hänenke sit’ babimoi, nikut ii sa leta, ii sa sada nikut.
","Минут пять я с ней тут возился, никак не поднять, не достать никак."
"«Naroviške, minä sindei vedan madalale, ka linnep paremb.
","«Погоди-ка, я тебя вытащу на мель, так будет лучше»."
"Hambhiže siman sain’, ka minei hambhad-gi hädab, muga kubeidab.
","Леску в зубы взял, так [она] у меня и зубы вытащит, так двигается."
"Jäl’gmei sidoin’ jougha siman i tönduin’.
",Наконец привязал леску к ноге и поехал.
"Metrad viž muga jätin’, hän kaiken pohjadmu tuleb.
","Метров пять так проехал, она все по дну идет."
"Minä kutn’a čurkan hänen vedan.
",Я как чурку ее тяну.
"Hän hil'l’ašti tuleb, minä suudan.
","Она потихоньку идет, я гребу."
"Muga suuzin’ sihessei ...
",Так греб [до тех пop] ...
"om sigä miil’ kaidelmaz, neche kaidelmahassei.
","есть у нас там пролив, до этого пролива."
"Rand-se madal, neche randha tulin’, kacuhtin’ – ak tuli vastad kastmaha järverandha(a elän-se minä järverandas), padanke da, dumaib, što minä hougin’ sain’ i padha panen edeleze, a ii muga lähtend.
","Берег-то мелкий, к этому берегу подъехал, смотрю ('посмотрел') – жена пришла веник мочить на берег озера (живу-то я на берегу озера), с горшком, думает, что я щуку поймал и в горшок положу, а не так получилось."
"Minä san: «Tuleške, akaine, abuta minein’ hougid’ otta».
","Я говорю: «Иди-ка, женка, помоги мне щуку взять.»"
"– Alako sä tühjäd pagiže.
",– «Не болтай-ка ты пустое».
"Sim om jougha sidotud eskei.
",Даже леска к ноге привязана».
"– Nu, hüvä.
","– «Нy, ладно»."
"Hän joks’ sinnä.
",Она прибежала туда.
"Tabazin’ kahtuu käduu i mi väged vedan.
",Поймал двумя руками и изо всех сил тащу.
"Potom hilläšti hän libui krežaspei-se sigäpei.
","Потом она потихоньку поднялась оттуда, из-под откоса."
"Sit’ minä hänen madalaha sain’.
",Тут я ее на мель вытащил.
"Minä haškun – muga i saskendamoi randha.
",Я шаг [шагну] – так и вытащим на берег.
"Jäl'gmei saimei ani jo madalale.
",Наконец вытащили уже совсем на мель.
"Hän ku skokkahtab sen korččuu, träsnib – ii päzund, minä vedouzin’, ii päzund.
","Она как подпрыгнет на такую высоту, тряхнет – не вырвалась, я потянул – не вырвалась."
"Minä vuugi härgän karččikš vedan.
","Я все еще тяну, как быка."
"Kuna hän?
",Куда она?
"«Sim kattez’, minä san, libo uštken ot’».
","«Леска порвалась, – я говорю, – или блесну унесла»."
"Kacun, ka ušte, sim – kaik om, a hougid’ ele.
","Смотрю, так блесна, леска – все есть, а щуки нет."
"A houg’- mugomou valuu, kutn’a lainiž sur’ män’.
","А щука-то валом таким, как большая волна ушла."
"«Mä na zdorovje».
",«Иди на здоровье».
"(Sarn)   Ende mäni jäniš händikhaze adivoihe.
",(Сказка)   Однажды пошел заяц к волку в гости.
"Vinuti händik necen jänišan.
",Напоил волк этого зайца.
"Jäniš humouzui.
",Заяц опьянел.
"Humouzui, a händikaz sanub: «Alа mäne, jäniš, kod’he, ika sindei reboi söb».
","Опьянел, а волк говорит: «Не ходи, заяц, домой, а то тебя лиса съест»."
"«Söb, ka minä reboid’ en vareida, minä kondjad en vareida, en vareida nikeda».
","«Съест, так я лисы не боюсь, я медведя не боюсь, никого не боюсь»."
"Astub jäniš pajanke.
",Идет заяц с песней.
"Drug kulišt’: reboi.
",Вдруг слышит: лиса.
"Reboi kulišti jänišan da i jäl’g’he.
",Лиса услышала зайца – и за ним.
"Ka jäniš joksi, joksi, joksi, kaks’ koivud ühthez kazvnuded.
","Заяц бежал, бежал, [видит] – две березы вместе срослись."
"Jäniš ku skokkahtab koivuiš keskes, a reboi-se zavodi skokkahtada i putui.
","Заяц как проскочит между березами, лиса-то хотела проскочить и застряла."
"Putui, a jäniš-se käded kormanoiš da kävеlеb:   «Zdumain' – pästan, zdumain' – en, n’ugde min’ zdumain', sen tegen».
","Застряла, а заяц-то руки в карманах ходит:  «Вздумаю – выпущу, вздумаю – нет, теперь что вздумаю, то и сделаю»."
"(Sarn)   Mäni üks’ mužik.
",(Сказка)   Шел один мужик.
"Oli hänou sorüunas herheht semetut.
",Был у него на краю болота посеян горох.
"Hargniba kurged.
",Повадились [туда] журавли.
"Kacui da i sanob: «Mi kurgideke zavot’t’a».
",Посмотрел [мужик] да и говорит: «Что с журавлями делать?».
"Oti rihmoid’ sin’n’a parazi diki äjan, parazi, kartaižen tegi habaižen, vinad sin’n’a valoi.
","Взял он и поставил туда много силков, сделал осиновое корытце, налил туда вина."
"Kurged tuliba, herneht süibä, süibä, kartaižespei vinad jüiba i humouzuiba.
","Прилетели журавли, гороха поели, поели, вина из корытца попили и опьянели."
"Humouzuiba i venutas.
",Опьянели и лежат.
"Nece mužik män’ homencuu aigoiš.
",Этот мужик приходит рано утром.
"Kurged venutas.
",Журавли лежат.
"Hänou sigä nor pit’g diki.
",Была у него там очень длинная веревка.
"Kurgid’ hän oti, ühthe sidoi, ičelaz völe sidoi da sab: «Söda herneht, mini hiid’ ii sa kantta, n’ugde uitte ii».
","Взял и связал всех журавлей вместе, привязал себе к поясу и говорит: «Поесть и мне гороха, [иначе] мне их не унести, теперь не улетят»."
"Veri kohtule da herneht söb.
",Лег он на живот и ест горох.
"Süi, süi, kurgil’ humou lähteškanz’, libuškat’he.
","Ел, ел, у журавлей хмель начал проходить, начали они вставать."
"Suugil’ ropsutadas, jougoile libuiba.
","Крыльями хлопают, на ноги встали."
"Hän dumai, händast ii lekoi, da i händast-ki lendaškat’he.
","Он думал, [что] его не поднимут, но и его начали поднимать."
"Kurged letas händ ülemba, kurged järves päliči, hän surmhassei varaidab: n’ugde sortas.
","Журавли поднимают его выше над озером, он боится до смерти: теперь уронят."
"Kurged joges päliči, mecas päliči, korbiš.
","Журавли [летят] над рекой, над лесом, над лесной чащей."
"Hän dumaib: «N’ugde mäne teda kuna i vedas».
","Он думает: «Теперь, поди знай, куда и отнесут»."
"Nečile sole garbüut sömhä kurged pohmel’jas laskeškanzihezoi, hil’l’ašti laskhezoi, laskhezoi.
","На это болото журавли с похмелья начали опускаться, [чтобы] поесть клюквы, потихоньку опускаются."
"Hän ku höpsahtab da puuvhezessei putui.
","Он как шлепнется, да по колено увяз [в болоте]."
"Mi n’ugde zavot’t’a?
",Что теперь делать?
"Deren edahan siičeme virstad.
","Деревня далеко, семь верст."
"Oti da joksi sin’n’a, zastupad pakiči, mužikad andoiba zastupan.
","Взял да и побежал туда, попросил лопату, мужики дали лопату."
"Tagaz tuli, jougad kaivoi da kodihe tuli.
","Пришел обратно, раскопал ноги да пришел домой."
"(Sarn)   Ende eliba mužik da ak.
",(Сказка)   Жили-были муж да жена.
"Elend hiil’ hebod.
",Не было у них лошади.
"Nu mužik sanub: «Den’goid ele osttes, mända kuna-nibud’, da miččeheni bohataha mužikaha öks da voruida hebo».
","Ну, муж говорит: «Денег нет для покупки [лошади], пойти куда-нибудь, к какому-нибудь богатому мужику на ночь и украсть лошадь»."
"Läks’ kodišpei, dorogadme astub da dumaib: «En tä kehe mända da kus hebo voruida».
","Вышел из дому, идет по дороге и думает: «Не знаю, к кому пойти и где лошадь украсть»."
