src, new src, tgt
нуӈан ӣломот эшэн дэгӣлрэ, амӣ ӣломот эшэн дэгӣлрэ, отец никуда не улетел
тадук нуӈан уйдэн нуӈарватын, тадук доктор уйдэн нуӈарватын, потом доктор привязал их
нуӈан ӈо̄лэпко̄нэн ӈинакирва, дядя ӈо̄лэпко̄нэн ӈинакирва, дядя испугал собак
нуӈан луhу эӈкӣн аӈира энэ̄лдэдо̄ нӣрэдо̄, доктор луhу эӈкӣн аӈира энэ̄лдэдо̄ нӣрэдо̄, доктор никогда не ленился ничего
нуӈан бурурэн, охотник бурурэн, охотник упал
нуӈан часовнядӯ идӯ часовнягит таргит эмэчо̄н в общем, доктор часовнядӯ идӯ часовнягит таргит эмэчо̄н в общем, доктор в часовне где ли из часовни оттуда приехал в общем
нуӈан гунэн, амӣ гунэн, отец говорит
тадук нуӈан иланман ан анӈанӣл дэгиктӣчо̄н уже дюр дюр бинэл, тадук амӣ иланман ан анӈанӣл дэгиктӣчо̄н уже дюр дюр бинэл, потом отец три года летал уже двое вдвоем будучи
нуӈан hуктыллэн, пастух hуктыллэн, пастух убежал
нуӈан оӈнэрэн в каждый балдырэ, пастух оӈнэрэн в каждый балдырэ, пастух не каждое лето растет
нуӈан hаӈӯктаса, бэе hаӈӯктаса, мужчина спросил
дынӈӣлэ̄деӈэ̄н нуӈан hо̄, дынӈӣлэ̄деӈэ̄н доктор hо̄, вот доктор побежит сильно
тадук нуӈан гундерэн, тадук бэе гундерэн, потом мужчина говорит
тадӯ нуӈан проводник, тадӯ амӣ проводник, там отец проводник
минэ нуӈан һэӈкэттын, минэ доктор һэӈкэттын, доктор меня отругал
тадук нуӈан гунэн, тадук доктор гунэн, потом доктор сказал
и нуӈан тар ӈинакинмэ һа̄ӈидян амӣӈасав, и дядя тар ӈинакинмэ һа̄ӈидян амӣӈасав, и дядя за той собакой следом побежит мой покойный отец
уже кали осалаи нуӈан хавалилдан зверофермадӯ, уже кали осалаи этырко̄н хавалилдан зверофермадӯ, уже став большим старик стал работать на звероферме
нуӈан тар нютэвэ hокӯлгӣдян, охотник тар нютэвэ hокӯлгӣдян, охотник подогреет эту смолу
ну нуӈан ичэрэн нуӈарватын, ну охотник ичэрэн нуӈарватын, ну охотник увидел их
нуӈан пэктырэ̄рэн, ама̄ка̄ пэктырэ̄рэн, дед выстрелил
нуӈан дядя улгурэӈкӣн, амӣ дядя улгурэӈкӣн, отец дядя рассказывал
нуӈан умӯкин бэелдук бичэн, этырко̄н умӯкин бэелдук бичэн, старик один из мужчин был
нуӈан минэ анача̄н и потом hуктылча̄н, пастух минэ анача̄н и потом hуктылча̄н, пастух меня толкнул и убежал
ну нуӈан гундерэн что вот от этого чтобы маленького пальмой рубили, ну доктор гундерэн что вот от этого чтобы маленького пальмой рубили, доктор говорил что вот от этого чтобы маленького пальмой рубили
нуӈан а̄дерэн, доктор а̄дерэн, доктор спит
нуӈан гунэн, амӣ гунэн, отец сказал
нуӈан аӈивкӣ минэ гавкӣ ӈа̄лэлдукив, энё аӈивкӣ минэ гавкӣ ӈа̄лэлдукив, мама это самое берет меня за руку
нуӈан эhӣко̄н этнографическай аӈдӯ hавалдяран центрадӯ турудӯ, hуна̄дин эhӣко̄н этнографическай аӈдӯ hавалдяран центрадӯ турудӯ, дочь теперь работает в этнографическом этом самом в центре в туре
нуӈан бичо̄н кремлевский врач, hуна̄дин бичо̄н кремлевский врач, дочь была кремлевский врач
вот тарэ нуӈан демӯккинтэ бинэ усӣвонтэ коӈидо̄ви ирӯктэдерэн, вот тарэ атырка̄н демӯккинтэ бинэ усӣвонтэ коӈидо̄ви ирӯктэдерэн, вот старуха будучи голоднойто волочит его чтобы грызть завязку
нуӈан эпкӣ лӯчада̄ттэ эвэды̄т улгучэ̄нипкӣ, hуна̄дин эпкӣ лӯчада̄ттэ эвэды̄т улгучэ̄нипкӣ, дочь порусски не говорит поэвенкийски рассказывает
нуӈан минэ ала̄тчэӈкӣн, эбэко̄н минэ ала̄тчэӈкӣн, бабушка меня ждала
тадӯ аӈивкӣл бэериктэл тэгэсиливкӣл нуӈан элэ малӯдӯ аӈдяна тар hамалбиденэка̄кун, тадӯ аӈивкӣл бэериктэл тэгэсиливкӣл атырка̄н элэ малӯдӯ аӈдяна тар hамалбиденэка̄кун, там сидели одни мужчины а старуха на малу место напротив входа подпрыгивала сильно
тадук нуӈан аӈилдан hимӯргаран тар шаман шаманитка̄нтэ̄, тадук энё аӈилдан hимӯргаран тар шаман шаманитка̄нтэ̄, потом мама это замолчала эта шаманка шаманочкато
нуӈан сурурэн бурка̄кдула бӣ дю̄дӯ орорво сирдяӈа̄м долболтоно, аhаткан сурурэн бурка̄кдула бӣ дю̄дӯ орорво сирдяӈа̄м долболтоно, девочка пошла прямо к зарослям на берегу
нуӈан иӈиндӯ hогоркӣдяпкӣ, энё иӈиндӯ hогоркӣдяпкӣ, мама в мороз покрывается наледью
нуӈан аӈи аӈдулӣн аӈидулӣн, атырка̄н аӈи аӈдулӣн аӈидулӣн, старуха это самое в честь нее по ней
нуӈан ирӯктыдерэн кэӈилэ̄нмэ, аhӣ ирӯктыдерэн кэӈилэ̄нмэ, женщина волочит за собой колокольчик
всё нуӈан эвэды̄т, всё эбэко̄н эвэды̄т, все бабушка поэвенкийски
раз нуӈан бурутилрэн энкэ, раз аhӣ бурутилрэн энкэ, раз женщина шерсть выпадает
нуӈан һутэв а̄дерэн, аhаткан һутэв а̄дерэн, девочка мой ребенок спит
тадук hэлэ нуӈан дыласа эделин юрэ юлдэкин hэлэ этэӈкӣн аӈдями яядеми тарэ, тадук hэлэ аhаткан дыласа эделин юрэ юлдэкин hэлэ этэӈкӣн аӈдями яядеми тарэ, потом вот девочка пока солнце не выйдет когда выйдет девочка прекращает петь
тадук нуӈан hурурэн ессейдула̄, тадук аhаткан hурурэн ессейдула̄, потом девочка уехала в ессей 
тарилвэ бу пастуктяӈнэрэв, тарилвэ би пастуктяӈнэм, тех оленей я пас
бу ичэтчэрэв ēва hама̄н о̄лдян, би ичэтчэм ēва hама̄н о̄лдян, я смотрю что шаман будет делать
бу боло хуруӈнэрэв школала̄, би боло хуруӈнэм школала̄, осенью я иду в школу
потом бу луху аӈиӈэрэв луху, потом би луху аӈиӈэм луху, потом я это делал все время
туг индерэв хэлэ эхико̄ко̄н, туг индем хэлэ эхико̄ко̄н, так живу сейчас
тыматнэ унэ тэгэрэв дяввар муӈгарав, тыматнэ унэ тэгэм дяввар муӈгам, рано утром встал засмолил берестянку
тара болорокин тала̄ потихоньку ӈэнэӈнэрэв может там не доезжая до этого места, тара болорокин тала̄ потихоньку ӈэнэӈнэм может там не доезжая до этого места, когда осень наступает туда потихоньку еду может там не доезжая до этого места
эмэдеӈнэрэв эмэдеӈнэрэв, эмэдеӈнэм эмэдеӈнэм, подхожу подхожу
тадук нян улуму улумиӈнэрэв улу улумоӈнэрэв, тадук нян улуму улумиӈнэм улу улумоӈнэм, потом опять уезжаю белковать
и аӈив дэрӯмкисарэв аят, и аӈив дэрӯмкисам аят, и это отдохнул хорошо
ичэрэв экунма экунмака киранчиканмэ тоготчерӣвэ дягдадӯ, ичэм экунма экунмака киранчиканмэ тоготчерӣвэ дягдадӯ, увидел этого этого орленка сидящего на сосне
дептылэвэр гада̄вэр эмэӈнэрэв эла̄, дептылэвэр гада̄вэр эмэӈнэм эла̄, приезжал сюда чтобы взять продукты
и сурурэв все опять аӈила̄вэр дюлдула̄вэр, и сурум опять аӈила̄вэр дюлдула̄вэр, и ушел опять к этому самому к чумам
улгурдям он hаргилтыки шуруӈнэрэв эдук, улгурдям он hаргилтыки шуруӈнэм эдук, расскажу как в лес ухожу отсюда
этэрэв эдук эмэрэ, этэм эдук эмэрэ, с этих пор больше не приду
арчарэв абачӣва, арчам абачӣва, встретил медведя
этэрэв упкатвар орав, этэм упкатвар оми, кончил все сделал
продуктылэвэр угугэрэв на бечеве бичевой таскали, продуктылэвэр угугэм на бечеве бичевой таскал, продукты тащил на бечеве таскал
этэрэв да̄ррэв сурурэв дюла̄вэр, этэм да̄рм сурум дюла̄вэр, кончил щепать пошел домой
этэрэв гада, этэм гада, не возьму
тулэсилиңэрэв капкарвэр бираялдулӣ амудилдулӣ урэко̄рдулӣ, тулэсилиңэм капкарвэр бираялдулӣ амудилдулӣ урэко̄рдулӣ, ставим капканы по рекам по озерам по холмам
тадук эмэңнэрэв эдӯ дю дюгаракин, тадук эмэңнэм эдӯ дю дюгаракин, потом приезжаю сюда летом
анамӈнэрэв туӈава ӣӈанӣл, анамӈнэм туӈава ӣӈанӣл, прохожу пять дней
hэлэ hурурэв hурурэв ӈэлифсиёй ӈэлифси, hэлэ hурум hурум ӈэлифсиёй ӈэлифси, вот уйду уйду страшно страшно
элдӯка ну как сказатьто эти коммерсанты комме коммесар коммерсашэлдӯ униэӈнэрэв шобдёрвэ улукилвэ, элдӯка ну как сказатьто эти коммерсанты комме коммесар коммерсашэлдӯ униэӈнэм шобдёрвэ улукилвэ, этим ну как сказатьто эти коммерсанты коммерсантам продаю соболей белок
потому что ӈэнэнӣ когда весна наступает толгокивэр ӈоӈэрэв как база идӯ толгокил бидерэ, потому что ӈэнэнӣ когда весна наступает толгокивэр ӈоӈэм как база идӯ толгокил бидерэ, потому что когда веста наступает весной сани оставляю где сани лежат как база
