original,translation
"Oli minä oli ülen muštačče,  oliis sanelttu da muštanuižin ka lopun, kaikem muštažin istor’ain ka, vot embo minä kulnu mis siten hüö kus zavodittih.
","Память у меня была очень хорошая, и если бы рассказывали, так я запомнила бы все, помнила бы всю историю [деревни], да вот я не слыхала с чего все началось."
"A toko sanottih korbi oli, miittumad oli korbed da kai ka.
","А только говорили, что глушь здесь была, стояли глухие леса."
"A, lugettiheze, pagolaižed küläh sih strojimah da kai, kus hüö pagettih kuz ol’d’ih miittumat.
","Считалось, что беглые деревню начали строить, а откуда убежали да где были – не знаю."
"Peldod da kai а d’älgele vit’, kačo pokol’enii da peldod da kai da rubetah da kai.
","После ведь поколение [за поколением] сменилось, поля появились."
"Kui meiden kačo d’agetaheze vel’l’ed da rahvast enämbi kazvau ka.
","Народу все прибавлялось, землю делили да все..."
"I neččidä rodiheze, mualuoid d’agetah da kai, a siid mi bedn’akkad oli siit kai burlakakse da paimuoiks da kai lipottih küläz iäris (iäris = iäres), ken ei ’kiehtannu ruata küläs.
","A сколько бедняков было – все [ушли] в бурлаки (в смысле «ушли на работу по найму») да в пастухи, они ушли из деревни, кто не хотел работать в деревне."
"– A eigo sanottu mi ezmäine rodiihes: Sürd’e vai Muale vai Haude?
","– Ну, говорили ли, что сначала появилось: Сюрде, Муале или Хауде?"
"A toko se sanottih biegluoid enzimäižeks zavodittih külä srojida.
","А только говорили, что первыми начали деревню строить беглые."
"Korbi čistuoi oli...
","Глухой лес был, – и..."
"Teilegi tulou muštai Pedäi-zapol’kaz oli miidne pedäi?
","Помните, в Педай-запольке какая была сосна?"
"Ka d’äredembi tädä stolad nenguoin oli, Pedäi-zapol’ke, oksad ol’d’ih ka vot d’äredembäd nenit...
","Толще этого стола была сосна в Педай-запольке, сучья были толще этих..."
"da kuuzed da koivut  storokol’ennuoit (storokol’ennuoit = starokol’ennuoit).
",да ели да березы были староколенные.
"A vit’ kuh rubettih elämäh ka, siid i korbi muretah kač da elaige azetetah.
","А ведь где начнут жить, так тут лес корчуют, да жизнь устраивают."
"Tervheks teile!
",Здравствуйте!
"Lyydin kielel pagizijad eletäh Kard’alan tazavaldan Anuksen, Priäžan da Kondupohjan piiriis.
","Карелы-людики проживают в Олонецком, Пряжинском и Кондопожском районах Республики Карелия."
"Kohtad, kuz hyö eletäh,  oldah: Pyharvi, Priäža, Kendärvi, Lahte, Tivdii, Kujärvi imi.
","К местам проживания карелов-людиков относят Святозеро, Пряжу, Кончезеро, Спасскую Губу, Тивдию, Михайловское и др."
"Nygy lyydin kiel’ on hävimäs.
",Людиковское наречие находится на грани исчезновения.
"On d’uged sanuda,  äijygo lyydilaižed on olemas.
",Сложно подсчитать: сколько носителей людиковского сейчас осталось.
"Keilentutkijad duumaijah, gu net oldah läs viitt sadad.
","Исследователи полагают, что их осталось примерно 500 человек."
"– Nu miituine se oli Koččurimägi Pelduoižis?
",– Что за Котчури-гора была в Пелдоже?
"Ka Koččurimäged ol’dih sit kaks mäged oli häi: ükse Koččuri-mägi oli, Bohatterin neččidä vaste, Ol’oša diädöd vaste da L’uba-t’otkad vaste, siid oli Koččurimägi.
","Две Котчури-горы было тут: одна Котчури-гора была напротив [дома] Богаттерин, дома дяди Олеши да Любы-тетки, там была Котчури-гора."
"Dai koččurid istinät koččurit.
",И [находили] остатки железа [сыродутного].
"Moine pahn oli, vot, en t’iä mid oli moine pahne siit.
","Такая была яма, а вот не знаю, почему была такая яма тут."
"A sit sig oli peldo alemba, se oli moine greža, siid midä koččuri oli.
","А там ниже было поле, был такой откос, там остатки железа находили."
"I toine moine Koččurimägi oli Bohatterin Miikkulan siiten neče Laurinojan keskel da Bohatterin sit.
","Другая Котчури-гора была у дома Богаттерин Мийккула, между ручьем Лауриноя, да домом Богаттерин."
"Laurin ojakse kirguttih.
",Ручей называли Лауриноя.
"Sinnä müö kačuoim midä häi sigä pidi.
","Мы смотрели, что он там держал."
"Ku tämän kodin korgedu (korgedu = korgedutte) metrid naverno kümmene.
","Яма была с дом высотой, метров, наверное, десять."
"Sih Koččurimägeh oli kaivettu i salmo oli.
",В этой Котчури-горе была выкопана яма и сруб был.
"Miks oli?
",А для чего?
"Pani nečen piäle moižen kriškan da siid l’ükii sii muad da kai pani enämbi ni mid ei nägünü ni vouso emme kačonu sigä midä oli.
","Приделал сверху такую крышку и завалил землей и больше ничего не видно было, нельзя было увидеть, что там было."
"Moin oli salvo sigä.
",Такой сруб был там.
"– A suadihgo sigäpiäi salvospiäi midä vai ei?
","– А доставали оттуда, из сруба, что-либо или нет?"
"Ei nimidä suadu ni ei, ei nimidä eigo suadu.
","Ничего не доставали, нет, ничего не доставали."
"Eigo ni häi iče midä pidänü.
",И сам он ничего здесь не держал.
"Muga salvo siid oli, nimid ei suadu.
","Так сруб тут и стоял, нет, ничего не доставали."
"A koččurid oli ka...
",Комки шлака были такие...
"Ka suuret palad murendammah rubedat, ka pakui, vaiku nenga, palaižet pakuttih koččuris d’ärei oli.
","Как ломать начнешь большие комки, так отламывались как шлак, маленькими кусочками, отламывались, большие [куски] были."
"Meiden d’ärvez luoduoil i mudoksil ongitettih.
",В нашем озере ловили рыбу на лудах и в илистых местах.
"Kouz on ku lämme vezi, ka siit randemba a vilustuv vezi siid ongitettih luoduoil.
","Когда вода была теплая, ловили возле берега, а как похолодала вода, тогда на лудах."
"Däže luodot voim muštada: Čarniemen n’okaspiäi oli luodo Röhkäččü, siid oli Häkinluodo, siid oli Vierniemenluodo.
","Даже луды могу вспомнить: со стороны Чарнаволока была луда Рехкяччу, потом была Хякин-луда, затем была Виерниемен-луда."
"I Mualal vie oli Larinluodoks kirguttih.
","А в сторону Муалы еще была [луда], Ларин-лудой называли."
"Siid Haudalepiäi lähtet, oli Čirkke, Karičal ongitettih.
","В сторону Хауде пойдешь, там была Чиркка-[луда], и на Каричча-[луде рыбу] ловили."
"Niilüöil ainoz ongitettih igä kai.
",На них ловили рыбу весь век.
"Muštelttih starikad dai minä muštan, iče kävüin niil’üöil luoduoil ongele.
","Так вспоминали старики, да и я помню, сама ходила на эти луды ловить рыбу."
"Poikki d’ärves oldih tože net: Oružluodo, Kodinluodo oli, i Hiedaks kirguttih.
","На том берегу озера были тоже [луды]: Оруж-луда, Кодин-луда была, и одну луду Хиедой называли."
"Net kai minä muštan daže iče kävüin ongele niilüöile luoduoile.
","Эти все я помню, сама ходила ловить на эти луды."
"D’ogehpiäi ol’d’ih äbrähäd moižet, sinnä lükittih nuottad, püuttih.
","К устью реки были глубины-тони, там закидывали невод и ловили неводом."
"Äbräz oli Selgäbräs, toin oli Viningänočan äbräs, kolmaž oli Onanakan äbräs.
","Тони назывались Селгябряс, другая была Винингяночанябряс, третья была – Онянаканябряс."
"Sih lähted nuotale, diäkkerid lükittih.
","Когда там тянули невод, то бросали якорь."
"Miittumad ol’d’ih niemet Pelduoižen d’ärves minä voin sanoda.
",Я могу назвать и какие были мысы в Пелдожском озере.
"Pelduoižen küläd (küläd = külän) čurad müöti lähtet Čarniemeh suai enzimäižeks oli Vierniemi, toižeks oli Plekunniemi.
","Как пойдешь по берегу до Чарнаволока, то первым будет мыс Виерниеми, а вторым мыс Плекунниеми."
"I voi daže miittumad lähtedih d’oget siit.
",И можно также назвать какие вытекали реки из озера.
"Toine oja oli Lanzinoja, kolmaž oja oli Viningoja, nel’l’až oli Kačoja, siid enämbi ni olnu ei ojat ned d’o lähtedih.
","А вторым был Ланзин-ручей, третий ручей был Винингручей, четвертый был Качручей; все эти ручьи спадали [в озеро]."
"Nu a siid d’o tännä voim minä gubad sanoda, miittumad on gubad Mualan n’okaspiäi zavodimme.
","Ну, а теперь я могу назвать губы и какие были заливы; со стороны Муала начнем."
"Siit sigä d’o L’evoskan, guban taga Časouniemi.
",После губы Левоски будет мыс Часоуниеми.
"Kalmižmuahpiäi vie Čurkinan guba oli, ende neččidä L’evoskat siid müödäh.
","В сторону кладбища еще до губы Левоски была губа Чуркина, она раньше губы Левоски была."
"I d’oga oli lambi küläl, osobi lambid.
",У каждой части деревни была своя ламба.
"Mualan n’okal ol’d’ih lambid: Tedruoid’ärvi, Okšatlambi, Pieni Pol’vuoilambi, Suuri Pol’vuoilambi i Kover, hüö kävüttih ongele sinne.
","У Муалы были ламбы: Тедруойдярви, Окшат-ламба, малая Польвуой-ламба, большая Польвуой-ламба и Ковера – они ходили на рыбалку туда."
"A Sürd’änkülä kävüi Guikanlambih, Tagalambih i Arestanlambih.
","Деревня Сюрде ходила в Гуйкан-ламбу, Тагаламбу и Арестан-ламбу."
"Lužmah kävüi Haude da Sürd’e ühtez.
",В Лужму ходили Хауде и Сюрде вместе.
"Enämbi ni lambiid ni olnu ei.
",Больше и не было ламб.
"Pogostaspiäi minä voim muštada miittumad mäged ol’d’ih Präkkas suai.
","Помню, какие горы были от погоста и до Прякки."
"Ku lähtet pogostalpiäi siid oli Samsuoimmägi, siid oli Vierniememmägi, siid oli Tohmojammägi.
","Как пойдешь от погоста, первой была гора Самсуоймяги, затем была Виернименмяги, затем была Тохмоянмяги."
"Siid nouzet Tagahalmidem [Tagahalmiden ~ Tagahalmehiden] mägele.
",Затем поднимешься на гору Тагахалмехиденмяги.
"Siid Rissuarim mägi oli, siid N’ürkämmätäz [N’ürkämmätäz = Mürkämmätäz] oli, Ristammägi oli.
","Затем идет Риссуаринмяги, потом Мюркяммятас и гора Ристаммяги."
"Siid d’o Präkkäd vaste oli Savergommägi.
",Возле Прякки была Савергоммяги.
"Sih Präkkässuai minä muštan a siga enämbäd em mušta, ku Präkäz en elänü ka, Pelduoižiz elin.
","До Прякки я помню, а дальше не помню, поскольку жила в Пелдоже, а не в Прякке."
"Oli külä suuri, niitud oldih ülen loitton, kävüdä pidi ül’en loitokse.
","Деревня [наша] была большая, и луга очень далеко, ходить надо было очень далеко."
"Ol’d’ih Präkäs, Riselgäs ol’d’ih, Pol’vail ol’d’ih, virstat kuus seiččei enämb oli.
","[Луга] были в Прякке, в Ригсельге, в Польвуой, верст за шесть-семь и больше."
"Arestanlambin taga oli, meill oli siid niittu, tožo kävüimme sinnä, üöči kävüimme, loitokse pidi kävüdä.
","За Арестан-ламбой были луга, и у нас там был луг, тоже ходили туда, ходили с ночевкой, далеко надо было ходить."
"Matkansuuz oli Riiselgäz niittu, tožo kävüimme sinnä.
","В Ригсельге в Маткансуу был луг, тоже ходили туда."
"Lambin randaz oli Pühälambiks kirguttih niittu.
",Луг был на берегу ламбы – Пюхя-ламба называли.
"Šän’gimäle kävuttih Manganojaлe kävüttih, virstale viideletoš.
",В Шаньгиму и на Манган-ручей приходилось ходить верст за пятнадцать.
"Trudn oli ruata moine, niituil.
",Тяжело было работать на таких лугах.
"Sii oli vie lähembä tägä Pelduoižen n’okas, Lužmahpiäi, oman d’ärven sigä tagan.
","Были луга и поближе, в конце Пелдожи, в сторону Лужмы, за своим озером."
"Pančum’mel’l’ičaz ol’d’ih, Tagakorbez ol’d’ih, Lužman randas ol’d’ih, Soudd’ogel ol’d’ih nitut.
","Были луга в Паньчунмелличче, в Тагакорби, на берегу Лужмы и на Соудреке."
"I Viningojal oldih loitton, Hanksuoz [Hanksuoz = Haršuoiz].
",И далеко на Виннинг-ручье были у болота Харшуой.
"Daže kävütti sinnä niittämäh virstat kümmene Kivimägen’selgäle.
",Даже косить ходили верст за десять на сельгу Кивимяги.
"Vot kui rahvahale pidi loitokse kävüdä.
",Вот как далеко народу надо было ходить.
"Nu a erähil oli lähembä sit ken kiehtadi [kiehtadi ~ kiehtaži] azuda ka vähäine oli peldot siid lähin niitut.
","Лишь у некоторых были поближе луга, но таких лугов мало было."
"Muul [muul = muil] kaikil oli rahvahal Pelduoižen loitton, siit pidi ainoz poikkipuoli virzu d’algas pidäi, takkat kandai niituile.
","У всех других жителей Пелдожи были далеко [покосы], все время лапти с ног не сходили, ношу надо было тащить, нести на луга."
"Nu a siid minä voin vie spominaita peldod oldih mittumat.
",Помню я и какие были [у нас] поля.
"Peldot ku Mualaz zavoditah agd’aspiäi.
",Начинались они от Муалы сразу...
"Vie oli kaks suarte: suari oli Mualan n’okas, toin oli keskiküläl.
","Еще было два острова: один в конце Муалы, другой напротив середины деревни."
"Suuret suared ol’d’ih, sinnä kävelttih kai lapsed da kai ol’d’ih.
","Большие были острова, туда все ходили и взрослые и дети."
"A siid vot vie pelduoid voim muštai, enzimäižekse Mualan randaz zavodiheze, oli Randaide, siid oli Kuašmättähät, siid oli Tagahalmeh.
","Поля, как помню, первое, начиная от Муалы, поле называлось Рандайде, затем было Куашмяттяхят, затем были Тагахалмех."
"Siid oli Humal’ńikaks kirguttih.
",Следующее [поле] называли Хумальникко.
"Sigä Regitie oli, Mualan n’okan, Kuašmättähät, Vazanaide.
","В конце Муалы были поля Регитие, Куашмяттяхят, Вазанайде."
"Se d’o Haudam pelduoissuai sih lopitaheze Pitke Zapol’kke.
",Здесь [полем] Питке Заполькке кончаются поля Сюрди.
"Siid d’o Agd’am peldod zavoditaheze: D’ermuoin puuste, D’ogiveräi i Kalmižmuam peldot.
","Затем уже поля Агди начинаются: Дермуойнпуусте, Дёгиверяй и поля Кладбищенские."
"Heil sigä ei ni äijäd olnu, sih lopitaheze neče Agd’an n’okkah, net peldot heiden.
","У Агди полей там немного и было, тут они и кончаются в конце Агди."
"Sigä oli Bohatterim Мiikkulan peldo, peldoz ümbäri, murd’at [murd’at =muard’at] sienet sigä keräžimme.
","Там находилось поле Мийккулы Богаттерин, около поля мы ягоды и рыжики собирали."
"Siit kävüttih korbeh, Huapkangahile lähti dorok siid lähti Riiselgäh.
","[За ягодами] ходили также в бор Хуапкангахат, там шла дорога на Ригсельгу."
"Dorogad müöti kirguttih Mokinkorbi, on sinnä sieneh kävüttih, Mokinkorbeh.
",По ней ходили на бор Мокинкорби за рыжиками.
"Siid op’ät’ Riiselgän dorogaz verniheze vie dorok Tagalambin tagakse sit kirguttih Piiraimägenselgäl, korbes, sienez olimme da muard’az.
","Там от дороги на Ригсельгу ответвлялась дорога за Тага-ламбу, она шла на сельгу Пийраймяги, туда тоже ходили за грибами и ягодами."
"Siid d’o sigä kävüttih enämbäd ei Hämehenselgän dorogad müöti kävüttü Ristanselgäle da korbeh.
",Но туда по дороге на Хямехен-сельгу и Ристан-сельгу пелдожане не ходили [за рыжиками].
"Sinnä Hämehenselgän korbeh, a sigä d’o Präkke lähti sinne eikävüttü, peldoššikat.
","С бора Хямехенсельга уже пряккянский край начинается, туда пелдожане не ходили."
"Küläz oli meil časoune, ainos sih kävuttih meidem muštamah dai endevahnaz dai kai vahnad i nuored i kai igän kaiken, kuni ei hävitettü časounat.
","В деревне у нас была часовня, и старые и молодые всегда ходили туда, на нашей памяти и в старину, весь век [ходили], пока не снесли часовню."
"Mändäh nuoret, storožat zvoniu, pappid ielnu [= ei olnu].
","Пойдут молодые, сторож звонит, а попа не было."
"Siit kerävütäh sigä: kengi molih, kengi midägi virkkau, ei virketä.
","Соберутся там: молятся, если кто что-нибудь и скажет, то другие молчат..."
"Siid oli Mačči, Mačin d’älgeh oli St’opin D’eša.
","Затем был Маччи, после Маччи был Деша Стёпин."
"Siit St’opin D’eša lähti iäre, ku lähti sinnä d’o neččih kolhozuoih da kai ei rubennu häi.
",Потом Деша вступил в колхоз и сторожем больше не стал.
"Jekorouskuoit [jekorouskuoit ~ georgijeuskuoit] kristat siid miitutte sigä panou.
",Георгиевские кресты [были у него].
"Akuoile huvä mieles: Ontuoi malittut panou.
",А бабам приятно: Онтуой молитвы читает.
"Siit ku lapsi (minuv) mänöu sinnä, rubetah midä šuhetammah libo iäres staruuhad ajetah: ”Mängäd iärez, mängäd iäres!
","Если дети пойдут туда, начнут шептаться, старухи выгоняют (их]: «Уйдите, уйдите!"
"Štobi midä t’üö siid mešaitte meil!”.
",Что вы здесь мешаете нам!».
"A üks oli neičükke, ainoz häi l’uubii hebol ajata [ajata ~ ajada], D’el’akse kirguttih, Tereńt’evän D’el’a, hebuoil ajelou, kai nu, ainoz hebuoid l’uubii käveltä.
","А была одна девочка, она все любила на лошадях кататься, Делей звали, Терентьева Деля, на лошадях ездить [любила]."
"Uste tüöndeli, tüöndeli časounaz, edelleh d’ärilleh tüöndeli, tüöndeli, kirgu: ”Foo, fuu”.
","Она дверь в часовне толкала, толкала взад-вперед, толкала, толкала и крикнула: «Тпруу, тпруу!»."
"Ku akad davai hänte čakata, provodittih iäre časounas lähti.
","Бабы давай ее ругать, выгнали из часовни."
"Nenit sanov: ”Vie tüötäh”,  sanou: ”Časounah lapsid vai meid riähkih kaimatah”.
","Ругаются: «Посылают в часовню детей, нас только в грехи вводят!»."
"A ken starikke l’uubii, ka kävüttih.
","Кто из стариков любил [молиться], те ходили."
"A ken ei l’uubinu, ka sanou: ”Ka emme midä müö časounah mäne.
","А кто не любил [ходить], те говорили: «Не пойдем мы в часовню."
"Druk mi kadogah, sit sanotah vargasti časounas mintahto”.
","Вдруг что пропадет там, тогда скажут, что украл в часовне что-нибудь»."
"Rugan Peššad ainoz muštelttih ”End’o”, sanou: ” lähte igässäh”.
","Про Руган Пешши всегда вспоминали, он говорил: «Не пойду вовек»."
"A siid d’o d’älgele rodiiheze, kačo, enzimäi еi olnu papiit, pappi tulou vai ku pruaznikas pruaznikkah.
","Раньше у нас не было попов, поп приходил только от праздника к празднику."
"Kouz on pruaznikke, časounah sih zvoniu da storožan ker kävüu da d’eńgad muanittau.
","К празднику-то придет в часовню, звонит да со сторожем походит, деньги только выманивал."
"Siid d’o d’älgele oli, [Nemende] poige rodiiheze.
","Был как-то весенний праздник, георгиев день был."
"En tiä, oligo pappi humalas dai storoš se, lähtedih časounaspiäi, rubeži pappi küläd müöti kävelemmäh.
","Не знаю, были ли поп и сторож во хмелю; вышли они из часовни, начал поп дома обходить."
"A Kindahan oli mužikke, pruaznikal Pelduoižis Kevädd’ürgi oli, davai.
",Один киндасовский мужик оказался на празднике в Пелдоже.
"Ehtii taluois toižes proidii, kolmandes pappih ku tartui: ”Sinä”, sanou: ”Midä kävelet, darmojede, küläd müöti da soberid da ristitüižid vahnuoid niärittelet”, sanou.
","Успел поп избу-другую обойти, а в третьей как вцепится [мужик] в попа: «Ты чего ходишь, дармоед, по деревне, народ обираешь да старых людей дразнишь!»."
"Pappih käzin, papil riäsäs seet [seet  = siit] trässiu.
","На попа он полез драться, у попа рясу трясет."
"Pappi ni midä virka ei iäre kirguu, storos se sanou: ”Olgat päivilleh!”.
","Поп ничего не ответил, а сторож закричал: «Отстань!»."
"” Ei minule päivilleh!
",«Не отстану!
"D’ärveh lükäidän necen”, sanou: ”Papin anda siga, loppih hot’ hänen kuru”,  sanou:  ”Papiit štobi ei oliiš”.
","В озеро его брошу, пусть хоть там кончатся его плутни, попов чтоб не было!»."
"Siit St’opispiäi akad ned Pühärven hüpnittih da otettih pappi kun sinnä pirttih [pirttih  = perttih] piäzi iäre.
",Из дома Стёпин выскочили святозерские женщины и увели попа.
"Eikä mužikke hänen trepainnuiš, d’ärveh vedämäz oli pappil [pappil  = papil] hengi pakkunuiš.
","Иначе мужик его в самом деле потрепал бы, в озере угрожал утопить."
"– Nu ende revol’ucaid oligo sigä Pelduoižis škola?
",– Была ли школа в Пелдоже до революции?
"Oli škola, oli d’o ammui škola Pelduoižis.
","Была школа, школа была давно в Пелдоже."
"Kačo, učittiheze.
",Учились.
"D’o, kačo, minule mi on seiččeikümen kaks vuotte?
",Мне сколько лет – семьдесят два года?
"Ka d’o minä školah kävüin, d’ oli siit Pelduoižiš škola.
","Так еще я в школу ходила, уже тогда была в Пелдоже школа."
"Klassat...
",Кто сколько [учился]...
"nu kem min siit kolmeh klassassuai učiiheze, enämbad ni učitteižizi [učitteižizi = učittu ei?] meiden aiga.
","до трех классов учили, больше и не учили в наше время."
"– Kird’ah opastettih?
",– Грамоте учили?
"Nu siid d’o d’älgele, kačo, nene rodittiheze da kai.
",Потом уже [колхозы] организовались.
"Ken d’o tahtuoi opastada [opastada ~ opastuda?], ka d’o lähtedih daaže loitomb uččimaheze ”šekeemih” da kai, da lidnuoih da ken kunnagi.
","Кто хотел учиться, те отправлялись дальше учиться в ШКМы (школы крестьянской молодежи), в города, да кто куда."
"Loppih enämbi ni midä, nu eipidä äijäd uččidakseh.
","Нельзя было долго учиться, и не учились."
"Eini učittuheze kolmeh kluassassuai dai enämbät sidä.
","До трех классов, больше не учились."
"A siid d’o d’älgele, kačo, školad ned da d’o l’ähtedih, kačo, uččimaheze d’o.
","А после, видишь ли, школы [появились], уже шли учиться дальше."
"Kaikkiz enzimäižeksě kouz minä zavodiin muštada?
","Самым первым, когда я начала помнить?"
"Oli učit’el’, mužikk oli Mihal Ol’ekseič oli, vot, se učìt’el’ Mihal Ol’ekseič, vot.
","Первым учителем был мужчина, Михал Олексеич, вот, Михал Олексеич был."
"Dai hänen kouz minä zavodiin vie si školah kävüdä.
","Его [помню], тогда я начала в школу ходить."
"A siid moužet’ ende sigä oli ken vai sigä ei olnu, Mihal Ol’ekseič oli naverno enzimäine učit’el’, vot.
","А раньше может кто и был, но Михал Олексеич был, наверно, первый учитель."
"Nu hänell oli tütär...
",У него была дочь...
"kaks tütärtt oli da siit akke, muid ni kedä ni olnu ei.
","две дочери было, да жена."
"Man’a da Ol’a da siiten Al’eksan...
","Маня да Оля, Алексан..."
"St’opanouna ol’ akke, Mihal Ol’ekseič oli.
","Степановна была жена, а самого звали Михал Олексеич..."
"Siiten rodittiheze toižed učit’el’ńicat i učit’el’at rodittiheze.
",После были другие учительницы и учителя.
"– Kuz eli?
",– Где жила?
"Häi elettih...
",Они жили...
"Bred’ec se oli učit’el’annu pogostal ukko ainos, vot mužikk oli.
",ее муж Бредец был все время учителем в погосте.
"Sigä hä pogostale ende et kävünü školih da kai, muga pruaznikal näget ka midä oli sigä entiä midä on.
","Ведь раньше только в погосте ходили в школу и на празднике там встречались, так что бывали там."
"Nu siid hänell оli akke tožo Kat’erina Il’l’išnä oli, Bred’ecakse kirguttih.
","У него была жена Катерина Ильинишна, Бредецем звали."
"d’o tänne uuzi škola stroittih, siid oli Kat’erina Il’l’išnä, nu, Bred’ecan akk oli, nu.
","здесь новую школу построили, потом работала Катерина Ильинишна, жена Бредеца."
"Siid d’o häi kačo lähti vahne rodiiheze naverno lähti penzaile, siid učii Lizavett Ivanouna, hänen tutär učii, vot, Bred’ecan, tutär.
","Потом она, наверно, вышла на пенсию, старая стала, затем учила Лизавета Ивановна, ее дочь учила, дочь Бредеца."
"No, siid hänell oli kačo Miša..
",У нее был сын Миша...
