,src,new_src,tgt
1476,и сурурэв все опять аӈила̄вэр дюлдула̄вэр,и суруМ все опять аӈила̄вэр дюлдула̄вэр,И УШЛИ ВСЕ ОПЯТЬ К ЭТОМУ САМОМУ К ЧУМАМ
1520,и инӣгэлдо̄вэр никэрэв ӯчакилвэр,и инӣгэлдо̄вэр никэМ ӯчакилвэр,И РАСПРЯГАТЬ ХОТЕЛИ УЧАКОВ ЕЗДОВЫХ ОЛЕНЕЙ НАШИХ
2039,улгурдям он hаргилтыки шуруӈнэрэв эдук,улгурдям он hаргилтыки шуруӈнэМ эдук,РАССКАЖУ КАК В ЛЕС УХОДИМ ОТСЮДА
2238,этэрэв эдук эмэрэ,этэМ эдук эмэрэ,С ЭТИХ ПОР БОЛЬШЕ НЕ ПРИДЕМ
2308,һигрэв мо̄ты̄вэ тадӯ,һигМ мо̄ты̄вэ тадӯ,ОБОДРАЛИ ЛОСЯ ТАМ
2684,арчарэв абачӣва,арчаМ абачӣва,ВСТРЕТИЛИ МЕДВЕДЯ
2688,эмэрэв дюла̄вэр ӯчакилвар тыттэв тыматнэла̄ дэрумкичэллэв,эмэМ дюла̄вэр ӯчакилвар тыттэв тыматнэла̄ дэрумкичэллэв,ПРИШЛИ ДОМОЙ ОТПУСТИЛИ СВОИХ ВЕРХОВЫХ ОЛЕНЕЙ ДО УТРА ОТДЫХАЛИ
2699,потом ча̄скӣ сурурэв hэрэкэт hэрэкэт hоктэт сурурэвкэ эсӣлэ̄,потом ча̄скӣ суруМ hэрэкэт hэрэкэт hоктэт суруМкэ эсӣлэ̄,ПОТОМ В СТОРОНУ ПОЕХАЛИ ДРУГОЙ ТРОПОЙ ПОЕХАЛИ ТОГДА
2865,э̄ долго уже долго о̄й гороё итыга̄деӈнэрэвун саво̄далвэр гороё инӣпдеӈнэрэв гороё еще,э̄ долго уже долго о̄й гороё итыга̄деӈнэМун саво̄далвэр гороё инӣпдеӈнэМ гороё еще,ДОЛГО УЖЕ ДОЛГО ДОЛГО СОБИРАЛИ ВЕЩИ ДОЛГО ВЬЮЧИЛИ ОЛЕНЕЙ ДОЛГО ЕЩЕ
3010,и ичэрэв тадӯ аминмун орорин ӯчакилин тэгэтчэрэ,и ичэМ тадӯ аминмун орорин ӯчакилин тэгэтчэрэ,И УВИДЕЛИ ТАМ ОЛЕНИ УЧАКИ НАШЕГО ОТЦА ЛЕЖАТ СИДЯТ
3025,этэрэв упкатвар орав,этэМ упкатвар орав,КОНЧИЛИ ВСЕ СДЕЛАЛИ
3095,продуктылэвэр угугэрэв на бечеве бичевой таскали,продуктылэвэр угугэМ на бечеве бичевой таскали,ПРОДУКТЫ ТАЩИЛИ НА БЕЧЕВЕ ТАСКАЛИ
3349,оллоло кэтэко̄кунмэ ва̄рэв амӣнэн,оллоло кэтэко̄кунмэ ва̄М амӣнэн,РЫБЫ МНОГО ДОБЫВАЕМ С ОТЦОМ
3615,этэрэв да̄ррэв сурурэв дюла̄вэр,этэМ да̄рМ суруМ дюла̄вэр,КОНЧИЛИ ЩЕПАТЬ ПОШЛИ ДОМОЙ
3645,этэрэв гада,этэМ гада,НЕ ВОЗЬМЕМ
3714,тулэсилиңэрэв капкарвэр бираялдулӣ амудилдулӣ урэко̄рдулӣ,тулэсилиңэМ капкарвэр бираялдулӣ амудилдулӣ урэко̄рдулӣ,СТАВИМ КАПКАНЫ ПО РЕКАМ ПО ОЗЕРАМ ПО ХОЛМАМ
3870,тадук эмэңнэрэв эдӯ дю дюгаракин,тадук эмэңнэМ эдӯ дю дюгаракин,ПОТОМ ПРИЕЗЖАЕМ СЮДА ЛЕТОМ
3962,анамӈнэрэв туӈава ӣӈанӣл,анамӈнэМ туӈава ӣӈанӣл,ПРОХОДИМ ПЯТЬ ДНЕЙ
4209,тадук этэми бэюшчэми шуруӈнэрэв чапумэша̄л амашки пакториятки,тадук этэми бэюшчэми шуруӈнэМ чапумэша̄л амашки пакториятки,ПОТОМ ПЕРЕСТАВ ОХОТИТЬСЯ УХОДИМ ПЕШКОМ НАЗАД НА ФАКТОРИЮ
4235,hэлэ hурурэв hурурэв ӈэлифсиёй ӈэлифси,hэлэ hуруМ hуруМ ӈэлифсиёй ӈэлифси,ВОТ УЙДЕМ УЙДЕМ СТРАШНО СТРАШНО
4338,элдӯка ну как сказатьто эти коммерсанты комме коммесар коммерсашэлдӯ униэӈнэрэв шобдёрвэ улукилвэ,элдӯка ну как сказатьто эти коммерсанты комме коммесар коммерсашэлдӯ униэӈнэМ шобдёрвэ улукилвэ,ЭТИМ НУ КАК СКАЗАТЬТО ЭТИ КОММЕРСАНТЫ КОММЕРСАНТАМ ПРОДАЕМ СОБОЛЕЙ БЕЛОК
4385,потому что ӈэнэнӣ когда весна наступает толгокивэр ӈоӈэрэв как база идӯ толгокил бидерэ,потому что ӈэнэнӣ когда весна наступает толгокивэр ӈоӈэМ как база идӯ толгокил бидерэ,ПОТОМУ ЧТО КОГДА ВЕСТА НАСТУПАЕТ ВЕСНОЙ САНИ ОСТАВЛЯЕМ ГДЕ САНИ ЛЕЖАТ КАК БАЗА
4404,карабинмэ эмэврэв и ичэсинимто тадӯ ге̄ мо̄ты̄ бидерэн,карабинмэ эмэвМ и ичэсинимто тадӯ ге̄ мо̄ты̄ бидерэн,КАРАБИН ПРИВЕЗЛИ И СМОТРЮТО ТАМ ДРУГОЙ ЛОСЬ ЕСТЬ
